LDEV_Write_IOPS_X406-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:0E X"
"1","2014/04/01 17:28",23
"2","2014/04/01 17:33",22
"3","2014/04/01 17:38",21
"4","2014/04/01 17:43",20
"5","2014/04/01 17:48",20
"6","2014/04/01 17:53",24
"7","2014/04/01 17:58",25
"8","2014/04/01 18:03",28
"9","2014/04/01 18:08",25
"10","2014/04/01 18:13",24
"11","2014/04/01 18:18",24
"12","2014/04/01 18:23",24
"13","2014/04/01 18:28",23
"14","2014/04/01 18:33",22
"15","2014/04/01 18:38",21
"16","2014/04/01 18:43",20
"17","2014/04/01 18:48",20
"18","2014/04/01 18:53",23
"19","2014/04/01 18:58",25
"20","2014/04/01 19:03",27
"21","2014/04/01 19:08",25
"22","2014/04/01 19:13",25
"23","2014/04/01 19:18",24
"24","2014/04/01 19:23",23
"25","2014/04/01 19:28",23
"26","2014/04/01 19:33",22
"27","2014/04/01 19:38",21
"28","2014/04/01 19:43",20
"29","2014/04/01 19:48",19
"30","2014/04/01 19:53",23
"31","2014/04/01 19:58",25
"32","2014/04/01 20:03",27
"33","2014/04/01 20:08",25
"34","2014/04/01 20:13",24
"35","2014/04/01 20:18",23
"36","2014/04/01 20:23",23
"37","2014/04/01 20:28",22
"38","2014/04/01 20:33",22
"39","2014/04/01 20:38",21
"40","2014/04/01 20:43",20
"41","2014/04/01 20:48",19
"42","2014/04/01 20:53",23
"43","2014/04/01 20:58",24
"44","2014/04/01 21:03",27
"45","2014/04/01 21:08",24
"46","2014/04/01 21:13",24
"47","2014/04/01 21:18",23
"48","2014/04/01 21:23",23
"49","2014/04/01 21:28",22
"50","2014/04/01 21:33",22
"51","2014/04/01 21:38",21
"52","2014/04/01 21:43",20
"53","2014/04/01 21:48",19
"54","2014/04/01 21:53",23
"55","2014/04/01 21:58",25
"56","2014/04/01 22:03",27
"57","2014/04/01 22:08",24
"58","2014/04/01 22:13",23
"59","2014/04/01 22:18",23
"60","2014/04/01 22:23",22
"61","2014/04/01 22:28",22
"62","2014/04/01 22:33",21
"63","2014/04/01 22:38",20
"64","2014/04/01 22:43",20
"65","2014/04/01 22:48",19
"66","2014/04/01 22:53",23
"67","2014/04/01 22:58",24
"68","2014/04/01 23:03",26
"69","2014/04/01 23:08",23
"70","2014/04/01 23:13",23
"71","2014/04/01 23:18",22
"72","2014/04/01 23:23",22
"73","2014/04/01 23:28",22
"74","2014/04/01 23:33",21
"75","2014/04/01 23:38",20
"76","2014/04/01 23:43",19
"77","2014/04/01 23:48",18
"78","2014/04/01 23:53",23
"79","2014/04/01 23:58",24
"80","2014/04/02 00:03",26
"81","2014/04/02 00:08",23
"82","2014/04/02 00:13",23
"83","2014/04/02 00:18",22
"84","2014/04/02 00:23",22
"85","2014/04/02 00:28",21
"86","2014/04/02 00:33",21
"87","2014/04/02 00:38",20
"88","2014/04/02 00:43",19
"89","2014/04/02 00:48",18
"90","2014/04/02 00:53",22
"91","2014/04/02 00:58",24
"92","2014/04/02 01:03",26
"93","2014/04/02 01:08",23
"94","2014/04/02 01:13",22
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",22
