LDEV_Write_IOPS_X69-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:FE X"
"1","2014/04/01 17:28",4
"2","2014/04/01 17:33",8
"3","2014/04/01 17:38",7
"4","2014/04/01 17:43",7
"5","2014/04/01 17:48",7
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",8
"9","2014/04/01 18:08",8
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",7
"12","2014/04/01 18:23",6
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",6
"15","2014/04/01 18:38",6
"16","2014/04/01 18:43",5
"17","2014/04/01 18:48",8
"18","2014/04/01 18:53",4
"19","2014/04/01 18:58",7
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",5
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",6
"27","2014/04/01 19:38",5
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",8
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",7
"32","2014/04/01 20:03",10
"33","2014/04/01 20:08",7
"34","2014/04/01 20:13",8
"35","2014/04/01 20:18",6
"36","2014/04/01 20:23",3
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",3
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",5
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",8
"45","2014/04/01 21:08",6
"46","2014/04/01 21:13",6
"47","2014/04/01 21:18",5
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",8
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",4
"53","2014/04/01 21:48",7
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",2
"59","2014/04/01 22:18",5
"60","2014/04/01 22:23",5
"61","2014/04/01 22:28",3
"62","2014/04/01 22:33",5
"63","2014/04/01 22:38",3
"64","2014/04/01 22:43",4
"65","2014/04/01 22:48",4
"66","2014/04/01 22:53",3
"67","2014/04/01 22:58",5
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",34
"71","2014/04/01 23:18",6
"72","2014/04/01 23:23",14
"73","2014/04/01 23:28",18
"74","2014/04/01 23:33",5
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",2
"77","2014/04/01 23:48",8
"78","2014/04/01 23:53",5
"79","2014/04/01 23:58",3
"80","2014/04/02 00:03",6
"81","2014/04/02 00:08",4
"82","2014/04/02 00:13",2
"83","2014/04/02 00:18",4
"84","2014/04/02 00:23",2
"85","2014/04/02 00:28",4
"86","2014/04/02 00:33",4
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",3
"90","2014/04/02 00:53",4
"91","2014/04/02 00:58",2
"92","2014/04/02 01:03",6
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",2
"95","2014/04/02 01:18",4
"96","2014/04/02 01:23",5
