LDEV_Write_IOPS_X753-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:08 X"
"1","2014/04/01 17:28",1
"2","2014/04/01 17:33",2
"3","2014/04/01 17:38",1
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",1
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",1
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",2
"16","2014/04/01 18:43",2
"17","2014/04/01 18:48",2
"18","2014/04/01 18:53",2
"19","2014/04/01 18:58",2
"20","2014/04/01 19:03",2
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",2
"23","2014/04/01 19:18",2
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",2
"27","2014/04/01 19:38",1
"28","2014/04/01 19:43",1
"29","2014/04/01 19:48",1
"30","2014/04/01 19:53",1
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",2
"33","2014/04/01 20:08",3
"34","2014/04/01 20:13",2
"35","2014/04/01 20:18",2
"36","2014/04/01 20:23",3
"37","2014/04/01 20:28",3
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",2
"40","2014/04/01 20:43",1
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",1
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",2
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",2
"48","2014/04/01 21:23",1
"49","2014/04/01 21:28",1
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",1
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",1
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",3
"57","2014/04/01 22:08",2
"58","2014/04/01 22:13",2
"59","2014/04/01 22:18",2
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",1
"62","2014/04/01 22:33",2
"63","2014/04/01 22:38",2
"64","2014/04/01 22:43",1
"65","2014/04/01 22:48",1
"66","2014/04/01 22:53",2
"67","2014/04/01 22:58",4
"68","2014/04/01 23:03",5
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",7
"71","2014/04/01 23:18",6
"72","2014/04/01 23:23",5
"73","2014/04/01 23:28",5
"74","2014/04/01 23:33",5
"75","2014/04/01 23:38",7
"76","2014/04/01 23:43",8
"77","2014/04/01 23:48",7
"78","2014/04/01 23:53",6
"79","2014/04/01 23:58",6
"80","2014/04/02 00:03",6
"81","2014/04/02 00:08",6
"82","2014/04/02 00:13",8
"83","2014/04/02 00:18",6
"84","2014/04/02 00:23",6
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",9
"87","2014/04/02 00:38",8
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",5
"90","2014/04/02 00:53",4
"91","2014/04/02 00:58",3
"92","2014/04/02 01:03",3
"93","2014/04/02 01:08",4
"94","2014/04/02 01:13",4
"95","2014/04/02 01:18",3
"96","2014/04/02 01:23",3
