LDEV_Write_IOPS_X852-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:06 X"
"1","2014/04/01 17:28",18
"2","2014/04/01 17:33",24
"3","2014/04/01 17:38",18
"4","2014/04/01 17:43",10
"5","2014/04/01 17:48",13
"6","2014/04/01 17:53",35
"7","2014/04/01 17:58",72
"8","2014/04/01 18:03",11
"9","2014/04/01 18:08",106
"10","2014/04/01 18:13",365
"11","2014/04/01 18:18",183
"12","2014/04/01 18:23",81
"13","2014/04/01 18:28",8
"14","2014/04/01 18:33",16
"15","2014/04/01 18:38",17
"16","2014/04/01 18:43",24
"17","2014/04/01 18:48",25
"18","2014/04/01 18:53",32
"19","2014/04/01 18:58",9
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",26
"22","2014/04/01 19:13",17
"23","2014/04/01 19:18",50
"24","2014/04/01 19:23",23
"25","2014/04/01 19:28",10
"26","2014/04/01 19:33",12
"27","2014/04/01 19:38",18
"28","2014/04/01 19:43",13
"29","2014/04/01 19:48",14
"30","2014/04/01 19:53",18
"31","2014/04/01 19:58",15
"32","2014/04/01 20:03",25
"33","2014/04/01 20:08",36
"34","2014/04/01 20:13",24
"35","2014/04/01 20:18",13
"36","2014/04/01 20:23",11
"37","2014/04/01 20:28",9
"38","2014/04/01 20:33",16
"39","2014/04/01 20:38",18
"40","2014/04/01 20:43",10
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",11
"43","2014/04/01 20:58",19
"44","2014/04/01 21:03",35
"45","2014/04/01 21:08",20
"46","2014/04/01 21:13",10
"47","2014/04/01 21:18",13
"48","2014/04/01 21:23",20
"49","2014/04/01 21:28",9
"50","2014/04/01 21:33",8
"51","2014/04/01 21:38",7
"52","2014/04/01 21:43",7
"53","2014/04/01 21:48",17
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",6
"58","2014/04/01 22:13",7
"59","2014/04/01 22:18",7
"60","2014/04/01 22:23",7
"61","2014/04/01 22:28",8
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",6
"64","2014/04/01 22:43",6
"65","2014/04/01 22:48",7
"66","2014/04/01 22:53",6
"67","2014/04/01 22:58",6
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",6
"70","2014/04/01 23:13",7
"71","2014/04/01 23:18",7
"72","2014/04/01 23:23",6
"73","2014/04/01 23:28",6
"74","2014/04/01 23:33",7
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",7
"77","2014/04/01 23:48",7
"78","2014/04/01 23:53",6
"79","2014/04/01 23:58",6
"80","2014/04/02 00:03",7
"81","2014/04/02 00:08",5
"82","2014/04/02 00:13",7
"83","2014/04/02 00:18",8
"84","2014/04/02 00:23",5
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",8
"87","2014/04/02 00:38",6
"88","2014/04/02 00:43",7
"89","2014/04/02 00:48",6
"90","2014/04/02 00:53",8
"91","2014/04/02 00:58",7
"92","2014/04/02 01:03",6
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",7
"95","2014/04/02 01:18",6
"96","2014/04/02 01:23",5
