PHY_Long_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"1","2014/03/03 01:15",7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,8,9,6,2,8,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,8,9,6,2,8,9,6,2,7,9,6,2
"2","2014/03/03 01:30",8,15,7,3,8,15,7,3,9,15,7,3,9,15,7,3,9,15,7,3,9,15,7,3,9,15,7,3,9,15,7,3,9,15,8,3,9,15,8,3,9,15,8,3,9,15,8,3,9,15,8,3,9,15,8,3,9,15,8,3,9,15,8,3
"3","2014/03/03 01:45",6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,7,10,7,2,7,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2,6,10,7,2
"4","2014/03/03 02:00",7,8,6,1,7,8,6,1,6,8,6,1,6,8,6,1,7,8,6,1,7,8,6,1,6,8,6,1,6,8,6,1,6,8,6,1,6,8,6,1,6,8,6,1,6,8,6,1,7,8,6,1,7,8,6,1,7,8,6,1,7,8,6,1
"5","2014/03/03 02:15",7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2,7,9,6,2
"6","2014/03/03 02:30",6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1,6,11,4,1
"7","2014/03/03 02:45",4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1,4,9,5,1
"8","2014/03/03 03:00",6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1,6,10,4,1
"9","2014/03/03 03:15",10,7,7,2,10,7,7,2,10,7,7,2,10,7,7,2,10,7,6,2,10,7,6,2,10,7,7,2,10,7,7,2,11,7,7,2,10,7,7,2,11,6,7,2,10,6,7,2,11,6,7,2,10,6,7,2,11,6,7,2,11,6,7,2
"10","2014/03/03 03:30",14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2,14,7,10,2
