PHY_Long_LDEV_13-10.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:FE:1D","00:FE:23","00:FE:24"
"1","2014/03/03 01:15",7,7,8
"2","2014/03/03 01:30",11,9,9
"3","2014/03/03 01:45",7,9,9
"4","2014/03/03 02:00",4,5,5
"5","2014/03/03 02:15",6,8,8
"6","2014/03/03 02:30",6,5,5
"7","2014/03/03 02:45",5,7,6
"8","2014/03/03 03:00",6,7,6
"9","2014/03/03 03:15",5,7,7
"10","2014/03/03 03:30",3,4,3
"11","2014/03/03 03:45",4,5,3
"12","2014/03/03 04:00",2,4,3
"13","2014/03/03 04:15",7,8,8
"14","2014/03/03 04:30",3,4,3
"15","2014/03/03 04:45",2,3,3
"16","2014/03/03 05:00",2,2,2
"17","2014/03/03 05:15",11,12,13
"18","2014/03/03 05:30",9,9,10
"19","2014/03/03 05:45",8,8,8
"20","2014/03/03 06:00",11,9,10
"21","2014/03/03 06:15",17,16,17
"22","2014/03/03 06:30",19,17,18
"23","2014/03/03 06:45",24,23,23
"24","2014/03/03 07:00",31,30,32
"25","2014/03/03 07:15",32,32,33
"26","2014/03/03 07:30",31,32,34
"27","2014/03/03 07:45",31,32,34
"28","2014/03/03 08:00",28,32,33
"29","2014/03/03 08:15",30,31,35
"30","2014/03/03 08:30",27,26,28
"31","2014/03/03 08:45",16,15,16
"32","2014/03/03 09:00",12,13,14
"33","2014/03/03 09:15",21,18,20
"34","2014/03/03 09:30",14,14,16
"35","2014/03/03 09:45",10,10,11
"36","2014/03/03 10:00",10,10,12
"37","2014/03/03 10:15",14,13,14
"38","2014/03/03 10:30",9,9,9
"39","2014/03/03 10:45",7,7,7
"40","2014/03/03 11:00",10,10,10
"41","2014/03/03 11:15",14,15,17
"42","2014/03/03 11:30",13,18,21
"43","2014/03/03 11:45",6,6,6
"44","2014/03/03 12:00",8,9,9
"45","2014/03/03 12:15",9,10,10
"46","2014/03/03 12:30",6,7,7
"47","2014/03/03 12:45",5,5,5
"48","2014/03/03 13:00",5,5,5
"49","2014/03/03 13:15",7,7,7
"50","2014/03/03 13:30",4,5,4
"51","2014/03/03 13:45",6,6,6
"52","2014/03/03 14:00",5,4,5
"53","2014/03/03 14:15",8,7,8
"54","2014/03/03 14:30",6,6,6
"55","2014/03/03 14:45",7,7,6
"56","2014/03/03 15:00",5,5,5
"57","2014/03/03 15:15",9,9,9
"58","2014/03/03 15:30",6,6,6
"59","2014/03/03 15:45",6,6,6
"60","2014/03/03 16:00",7,6,6
"61","2014/03/03 16:15",7,6,7
"62","2014/03/03 16:30",5,4,4
"63","2014/03/03 16:45",6,6,6
"64","2014/03/03 17:00",11,8,9
"65","2014/03/03 17:15",8,9,9
"66","2014/03/03 17:30",14,14,14
"67","2014/03/03 17:45",11,10,11
"68","2014/03/03 18:00",8,8,8
"69","2014/03/03 18:15",9,9,9
"70","2014/03/03 18:30",6,6,6
"71","2014/03/03 18:45",5,5,5
