PHY_Long_LDEV_13-12.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:FE:1E","00:FE:30"
"1","2014/03/03 01:15",7,5
"2","2014/03/03 01:30",12,6
"3","2014/03/03 01:45",8,4
"4","2014/03/03 02:00",5,4
"5","2014/03/03 02:15",8,5
"6","2014/03/03 02:30",7,3
"7","2014/03/03 02:45",5,3
"8","2014/03/03 03:00",6,4
"9","2014/03/03 03:15",6,3
"10","2014/03/03 03:30",3,1
"11","2014/03/03 03:45",4,1
"12","2014/03/03 04:00",3,1
"13","2014/03/03 04:15",8,5
"14","2014/03/03 04:30",4,2
"15","2014/03/03 04:45",3,2
"16","2014/03/03 05:00",2,1
"17","2014/03/03 05:15",12,8
"18","2014/03/03 05:30",10,6
"19","2014/03/03 05:45",9,5
"20","2014/03/03 06:00",11,7
"21","2014/03/03 06:15",21,13
"22","2014/03/03 06:30",24,17
"23","2014/03/03 06:45",25,17
"24","2014/03/03 07:00",36,24
"25","2014/03/03 07:15",39,29
"26","2014/03/03 07:30",43,30
"27","2014/03/03 07:45",41,28
"28","2014/03/03 08:00",42,25
"29","2014/03/03 08:15",42,25
"30","2014/03/03 08:30",29,20
"31","2014/03/03 08:45",16,9
"32","2014/03/03 09:00",12,9
"33","2014/03/03 09:15",22,13
"34","2014/03/03 09:30",14,9
"35","2014/03/03 09:45",11,6
"36","2014/03/03 10:00",11,7
"37","2014/03/03 10:15",15,11
"38","2014/03/03 10:30",8,7
"39","2014/03/03 10:45",8,5
"40","2014/03/03 11:00",10,6
"41","2014/03/03 11:15",17,13
"42","2014/03/03 11:30",17,13
"43","2014/03/03 11:45",6,4
"44","2014/03/03 12:00",8,5
"45","2014/03/03 12:15",10,7
"46","2014/03/03 12:30",7,4
"47","2014/03/03 12:45",6,4
"48","2014/03/03 13:00",6,3
"49","2014/03/03 13:15",7,5
"50","2014/03/03 13:30",5,2
"51","2014/03/03 13:45",6,3
"52","2014/03/03 14:00",5,3
"53","2014/03/03 14:15",8,5
"54","2014/03/03 14:30",7,3
"55","2014/03/03 14:45",7,4
"56","2014/03/03 15:00",6,3
"57","2014/03/03 15:15",9,5
"58","2014/03/03 15:30",7,4
"59","2014/03/03 15:45",6,3
"60","2014/03/03 16:00",7,4
"61","2014/03/03 16:15",7,4
"62","2014/03/03 16:30",5,3
"63","2014/03/03 16:45",6,3
"64","2014/03/03 17:00",12,4
"65","2014/03/03 17:15",10,6
"66","2014/03/03 17:30",15,9
"67","2014/03/03 17:45",12,8
"68","2014/03/03 18:00",8,6
"69","2014/03/03 18:15",9,5
"70","2014/03/03 18:30",6,4
"71","2014/03/03 18:45",5,3
"72","2014/03/03 19:00",5,3
"73","2014/03/03 19:15",8,4
"74","2014/03/03 19:30",6,4
"75","2014/03/03 19:45",6,3
"76","2014/03/03 20:00",7,3
"77","2014/03/03 20:15",9,5
"78","2014/03/03 20:30",4,2
"79","2014/03/03 20:45",4,2
"80","2014/03/03 21:00",3,1
"81","2014/03/03 21:15",5,3
"82","2014/03/03 21:30",3,2
"83","2014/03/03 21:45",4,2
"84","2014/03/03 22:00",3,1
"85","2014/03/03 22:15",8,6
"86","2014/03/03 22:30",7,4
"87","2014/03/03 22:45",9,5
"88","2014/03/03 23:00",8,5
"89","2014/03/03 23:15",9,6
"90","2014/03/03 23:30",6,3
"91","2014/03/03 23:45",7,4
"92","2014/03/04 00:00",7,4
"93","2014/03/04 00:15",12,8
"94","2014/03/04 00:30",10,4
"95","2014/03/04 00:45",11,6
"96","2014/03/04 01:00",9,7
"97","2014/03/04 01:15",10,6
"98","2014/03/04 01:30",10,5
"99","2014/03/04 01:45",14,8
"100","2014/03/04 02:00",13,9
"101","2014/03/04 02:15",16,7
"102","2014/03/04 02:30",12,4
"103","2014/03/04 02:45",12,5
"104","2014/03/04 03:00",7,5
"105","2014/03/04 03:15",9,5
"106","2014/03/04 03:30",5,3
"107","2014/03/04 03:45",8,3
"108","2014/03/04 04:00",7,5
"109","2014/03/04 04:15",13,9
"110","2014/03/04 04:30",6,3
"111","2014/03/04 04:45",6,4
"112","2014/03/04 05:00",5,3
"113","2014/03/04 05:15",18,10
"114","2014/03/04 05:30",13,8
"115","2014/03/04 05:45",12,8
"116","2014/03/04 06:00",14,9
"117","2014/03/04 06:15",24,15
"118","2014/03/04 06:30",23,17
"119","2014/03/04 06:45",19,15
"120","2014/03/04 07:00",22,13
"121","2014/03/04 07:15",26,18
"122","2014/03/04 07:30",31,19
"123","2014/03/04 07:45",26,17
"124","2014/03/04 08:00",26,17
"125","2014/03/04 08:15",29,18
"126","2014/03/04 08:30",18,13
"127","2014/03/04 08:45",20,13
"128","2014/03/04 09:00",18,12
"129","2014/03/04 09:15",19,13
"130","2014/03/04 09:30",14,9
"131","2014/03/04 09:45",16,10
"132","2014/03/04 10:00",19,11
"133","2014/03/04 10:15",20,13
"134","2014/03/04 10:30",12,8
"135","2014/03/04 10:45",11,8
"136","2014/03/04 11:00",11,7
"137","2014/03/04 11:15",19,11
"138","2014/03/04 11:30",15,8
"139","2014/03/04 11:45",9,5
"140","2014/03/04 12:00",11,7
"141","2014/03/04 12:15",12,7
"142","2014/03/04 12:30",8,4
"143","2014/03/04 12:45",9,5
"144","2014/03/04 13:00",9,5
"145","2014/03/04 13:15",11,6
"146","2014/03/04 13:30",9,6
"147","2014/03/04 13:45",11,6
"148","2014/03/04 14:00",9,6
"149","2014/03/04 14:15",16,9
"150","2014/03/04 14:30",11,7
"151","2014/03/04 14:45",9,4
"152","2014/03/04 15:00",10,6
"153","2014/03/04 15:15",13,8
"154","2014/03/04 15:30",8,4
"155","2014/03/04 15:45",10,6
"156","2014/03/04 16:00",10,5
"157","2014/03/04 16:15",12,7
"158","2014/03/04 16:30",11,8
"159","2014/03/04 16:45",12,9
"160","2014/03/04 17:00",11,8
"161","2014/03/04 17:15",16,10
"162","2014/03/04 17:30",14,7
"163","2014/03/04 17:45",10,6
"164","2014/03/04 18:00",8,5
"165","2014/03/04 18:15",11,7
"166","2014/03/04 18:30",9,5
"167","2014/03/04 18:45",12,7
"168","2014/03/04 19:00",11,7
"169","2014/03/04 19:15",13,8
"170","2014/03/04 19:30",11,7
"171","2014/03/04 19:45",14,11
"172","2014/03/04 20:00",15,9
"173","2014/03/04 20:15",14,8
"174","2014/03/04 20:30",13,7
"175","2014/03/04 20:45",11,6
"176","2014/03/04 21:00",11,6
"177","2014/03/04 21:15",12,8
"178","2014/03/04 21:30",10,7
"179","2014/03/04 21:45",9,6
"180","2014/03/04 22:00",9,5
"181","2014/03/04 22:15",11,5
"182","2014/03/04 22:30",7,3
"183","2014/03/04 22:45",7,4
"184","2014/03/04 23:00",6,2
"185","2014/03/04 23:15",7,5
"186","2014/03/04 23:30",5,3
"187","2014/03/04 23:45",6,3
"188","2014/03/05 00:00",7,3
"189","2014/03/05 00:15",13,9
"190","2014/03/05 00:30",9,5
"191","2014/03/05 00:45",10,5
"192","2014/03/05 01:00",8,5
"193","2014/03/05 01:15",10,6
"194","2014/03/05 01:30",11,5
"195","2014/03/05 01:45",10,7
"196","2014/03/05 02:00",13,8
"197","2014/03/05 02:15",14,7
"198","2014/03/05 02:30",8,3
"199","2014/03/05 02:45",9,6
"200","2014/03/05 03:00",8,4
"201","2014/03/05 03:15",12,7
"202","2014/03/05 03:30",10,5
"203","2014/03/05 03:45",8,4
"204","2014/03/05 04:00",8,4
"205","2014/03/05 04:15",12,6
"206","2014/03/05 04:30",6,3
"207","2014/03/05 04:45",9,4
"208","2014/03/05 05:00",8,2
"209","2014/03/05 05:15",12,8
"210","2014/03/05 05:30",12,8
"211","2014/03/05 05:45",10,6
"212","2014/03/05 06:00",13,7
"213","2014/03/05 06:15",21,13
"214","2014/03/05 06:30",24,19
"215","2014/03/05 06:45",25,16
"216","2014/03/05 07:00",19,12
"217","2014/03/05 07:15",22,15
"218","2014/03/05 07:30",21,12
"219","2014/03/05 07:45",25,14
"220","2014/03/05 08:00",13,11
"221","2014/03/05 08:15",13,8
"222","2014/03/05 08:30",8,5
"223","2014/03/05 08:45",9,4
"224","2014/03/05 09:00",6,4
"225","2014/03/05 09:15",9,6
"226","2014/03/05 09:30",6,3
"227","2014/03/05 09:45",5,3
"228","2014/03/05 10:00",3,1
"229","2014/03/05 10:15",9,6
"230","2014/03/05 10:30",10,4
"231","2014/03/05 10:45",6,3
"232","2014/03/05 11:00",3,1
"233","2014/03/05 11:15",7,4
"234","2014/03/05 11:30",3,2
"235","2014/03/05 11:45",2,1
"236","2014/03/05 12:00",7,4
"237","2014/03/05 12:15",13,7
"238","2014/03/05 12:30",7,4
"239","2014/03/05 12:45",4,3
"240","2014/03/05 13:00",5,2
"241","2014/03/05 13:15",8,4
"242","2014/03/05 13:30",6,3
"243","2014/03/05 13:45",6,4
"244","2014/03/05 14:00",8,5
"245","2014/03/05 14:15",9,5
"246","2014/03/05 14:30",8,4
"247","2014/03/05 14:45",10,5
"248","2014/03/05 15:00",9,4
"249","2014/03/05 15:15",11,8
"250","2014/03/05 15:30",9,6
"251","2014/03/05 15:45",8,5
"252","2014/03/05 16:00",10,6
"253","2014/03/05 16:15",13,6
"254","2014/03/05 16:30",8,5
"255","2014/03/05 16:45",9,5
"256","2014/03/05 17:00",10,6
"257","2014/03/05 17:15",15,9
"258","2014/03/05 17:30",17,10
"259","2014/03/05 17:45",12,7
"260","2014/03/05 18:00",7,4
"261","2014/03/05 18:15",9,4
"262","2014/03/05 18:30",6,3
"263","2014/03/05 18:45",9,6
"264","2014/03/05 19:00",6,4
"265","2014/03/05 19:15",9,5
"266","2014/03/05 19:30",6,3
"267","2014/03/05 19:45",5,3
"268","2014/03/05 20:00",5,3
"269","2014/03/05 20:15",9,5
"270","2014/03/05 20:30",8,4
"271","2014/03/05 20:45",8,4
"272","2014/03/05 21:00",5,2
"273","2014/03/05 21:15",8,4
"274","2014/03/05 21:30",5,2
"275","2014/03/05 21:45",5,3
"276","2014/03/05 22:00",4,2
"277","2014/03/05 22:15",6,3
"278","2014/03/05 22:30",3,2
"279","2014/03/05 22:45",5,2
"280","2014/03/05 23:00",3,2
"281","2014/03/05 23:15",7,6
"282","2014/03/05 23:30",4,3
"283","2014/03/05 23:45",6,3
"284","2014/03/06 00:00",10,5
"285","2014/03/06 00:15",17,10
"286","2014/03/06 00:30",10,6
"287","2014/03/06 00:45",8,4
"288","2014/03/06 01:00",6,3
"289","2014/03/06 01:15",7,4
"290","2014/03/06 01:30",9,4
"291","2014/03/06 01:45",8,5
"292","2014/03/06 02:00",6,4
"293","2014/03/06 02:15",16,8
"294","2014/03/06 02:30",9,4
"295","2014/03/06 02:45",7,3
"296","2014/03/06 03:00",6,4
"297","2014/03/06 03:15",11,5
"298","2014/03/06 03:30",6,2
"299","2014/03/06 03:45",5,2
"300","2014/03/06 04:00",2,2
"301","2014/03/06 04:15",10,6
"302","2014/03/06 04:30",4,2
"303","2014/03/06 04:45",4,2
"304","2014/03/06 05:00",4,2
"305","2014/03/06 05:15",13,8
"306","2014/03/06 05:30",11,8
"307","2014/03/06 05:45",11,5
"308","2014/03/06 06:00",11,7
"309","2014/03/06 06:15",21,13
"310","2014/03/06 06:30",22,17
"311","2014/03/06 06:45",25,16
