PHY_Long_LDEV_13-2.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:2A:21","00:2A:DF","00:2A:E0","00:2A:E1","00:2A:E2","00:2A:E3","00:2A:E4","00:2A:E5","00:3B:6B","00:FE:3D","00:FE:40","00:FE:41"
"1","2014/03/03 01:15",0,0,0,0,3,5,0,3,0,9,11,5
"2","2014/03/03 01:30",0,0,0,0,3,2,0,2,0,9,13,6
"3","2014/03/03 01:45",0,0,0,0,3,2,0,0,0,8,10,5
"4","2014/03/03 02:00",0,0,0,0,1,2,0,0,0,5,7,2
"5","2014/03/03 02:15",0,0,0,0,2,3,0,0,0,9,12,6
"6","2014/03/03 02:30",0,0,0,0,1,4,0,0,0,6,7,5
"7","2014/03/03 02:45",0,0,0,0,1,3,0,0,0,6,7,5
"8","2014/03/03 03:00",0,0,0,0,2,3,0,0,0,6,7,6
"9","2014/03/03 03:15",0,0,0,0,0,2,0,0,0,7,10,6
"10","2014/03/03 03:30",0,0,0,0,1,0,0,0,0,4,8,6
"11","2014/03/03 03:45",0,0,0,0,0,0,0,2,0,4,7,3
"12","2014/03/03 04:00",0,0,0,0,0,0,0,2,0,3,7,3
"13","2014/03/03 04:15",0,0,0,0,0,0,0,1,0,8,11,6
"14","2014/03/03 04:30",0,0,0,0,0,0,0,1,0,6,10,5
"15","2014/03/03 04:45",0,0,0,0,0,0,0,3,0,4,5,3
"16","2014/03/03 05:00",0,0,0,0,0,0,0,2,0,3,6,2
"17","2014/03/03 05:15",0,0,0,0,0,2,0,0,0,10,14,6
"18","2014/03/03 05:30",0,0,0,0,0,1,0,0,0,10,11,6
"19","2014/03/03 05:45",0,0,0,0,0,0,0,0,0,11,10,6
"20","2014/03/03 06:00",0,0,0,0,0,0,0,0,0,8,12,7
"21","2014/03/03 06:15",0,0,0,0,0,0,0,0,0,15,19,12
"22","2014/03/03 06:30",0,0,0,0,0,0,0,0,0,20,25,14
"23","2014/03/03 06:45",0,0,0,0,0,0,0,0,0,24,30,19
"24","2014/03/03 07:00",0,0,0,0,0,0,0,0,0,31,38,23
"25","2014/03/03 07:15",0,0,0,0,0,0,0,0,0,32,39,26
"26","2014/03/03 07:30",0,0,0,0,0,0,0,0,0,37,36,24
"27","2014/03/03 07:45",0,0,0,0,0,0,0,0,0,38,34,25
"28","2014/03/03 08:00",0,0,0,0,0,0,0,0,0,34,34,24
"29","2014/03/03 08:15",0,0,0,0,0,0,0,0,0,34,35,25
"30","2014/03/03 08:30",0,0,0,0,0,0,0,0,0,30,29,19
"31","2014/03/03 08:45",0,0,0,0,0,0,0,0,0,19,22,12
"32","2014/03/03 09:00",0,0,0,0,0,0,0,0,0,15,16,10
"33","2014/03/03 09:15",0,0,0,0,0,0,0,0,0,21,22,16
"34","2014/03/03 09:30",0,0,0,0,0,0,0,0,0,14,15,11
"35","2014/03/03 09:45",0,0,0,0,0,0,0,0,0,14,14,10
"36","2014/03/03 10:00",0,0,0,0,0,0,0,0,0,13,13,10
"37","2014/03/03 10:15",0,0,0,0,0,0,0,0,0,15,14,11
"38","2014/03/03 10:30",0,0,0,0,0,0,0,0,0,10,9,6
"39","2014/03/03 10:45",0,0,0,0,0,0,0,0,0,8,8,5
"40","2014/03/03 11:00",0,0,0,0,0,0,0,0,0,10,10,5
"41","2014/03/03 11:15",0,0,0,0,0,0,0,0,0,16,15,9
"42","2014/03/03 11:30",0,0,0,0,0,0,0,0,0,18,15,10
"43","2014/03/03 11:45",0,0,0,0,0,0,0,0,0,8,8,7
"44","2014/03/03 12:00",0,0,0,0,0,0,0,0,0,10,9,7
"45","2014/03/03 12:15",0,0,0,0,0,0,0,0,0,10,11,7
"46","2014/03/03 12:30",0,0,0,0,0,0,0,0,0,8,9,5
"47","2014/03/03 12:45",0,0,0,0,0,0,0,0,0,7,7,4
"48","2014/03/03 13:00",0,0,0,0,0,0,0,0,0,6,7,3
"49","2014/03/03 13:15",0,0,0,0,0,0,0,0,0,8,9,6
"50","2014/03/03 13:30",0,0,0,0,0,0,0,0,0,6,6,5
"51","2014/03/03 13:45",0,0,0,0,0,0,0,0,0,7,7,4
"52","2014/03/03 14:00",0,0,0,0,0,0,0,0,0,7,6,3
"53","2014/03/03 14:15",0,0,0,0,0,0,0,0,0,8,8,5
"54","2014/03/03 14:30",0,0,0,0,0,0,0,0,0,7,8,5
"55","2014/03/03 14:45",0,0,0,0,0,0,0,0,0,9,12,6
"56","2014/03/03 15:00",0,0,0,0,0,0,0,0,0,7,8,4
"57","2014/03/03 15:15",0,0,0,0,0,0,0,0,0,9,11,6
"58","2014/03/03 15:30",0,0,0,0,0,0,0,0,0,7,9,4
"59","2014/03/03 15:45",0,0,0,0,0,0,0,0,0,8,9,5
"60","2014/03/03 16:00",0,0,0,0,0,0,0,0,0,8,8,5
"61","2014/03/03 16:15",0,0,0,0,0,0,0,0,0,8,8,4
"62","2014/03/03 16:30",0,0,0,0,0,0,0,0,0,6,7,3
"63","2014/03/03 16:45",0,0,0,0,0,0,0,0,0,7,8,5
"64","2014/03/03 17:00",0,0,0,0,0,0,0,0,0,10,14,8
"65","2014/03/03 17:15",0,0,0,0,0,0,0,0,0,9,10,6
"66","2014/03/03 17:30",0,0,0,0,0,0,0,0,0,14,16,9
"67","2014/03/03 17:45",0,0,0,0,0,0,0,0,0,11,15,9
"68","2014/03/03 18:00",0,0,0,0,0,0,0,0,0,10,10,6
"69","2014/03/03 18:15",0,0,0,0,0,0,0,0,0,9,9,5
"70","2014/03/03 18:30",0,0,0,0,0,0,0,0,0,8,6,4
"71","2014/03/03 18:45",0,0,0,0,0,0,0,0,0,7,6,4
"72","2014/03/03 19:00",0,0,0,0,0,0,0,0,0,6,5,3
"73","2014/03/03 19:15",0,0,0,0,0,0,0,0,0,8,8,5
"74","2014/03/03 19:30",0,0,0,0,0,0,0,0,0,8,6,4
