PHY_Long_LDEV_13-7.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:FE:34","00:FE:3E"
"1","2014/03/03 01:15",8,10
"2","2014/03/03 01:30",9,11
"3","2014/03/03 01:45",7,8
"4","2014/03/03 02:00",6,6
"5","2014/03/03 02:15",7,11
"6","2014/03/03 02:30",5,6
"7","2014/03/03 02:45",5,6
"8","2014/03/03 03:00",6,6
"9","2014/03/03 03:15",6,8
"10","2014/03/03 03:30",3,6
"11","2014/03/03 03:45",3,5
"12","2014/03/03 04:00",2,5
"13","2014/03/03 04:15",9,8
"14","2014/03/03 04:30",3,7
"15","2014/03/03 04:45",3,4
"16","2014/03/03 05:00",3,4
"17","2014/03/03 05:15",10,11
"18","2014/03/03 05:30",9,10
"19","2014/03/03 05:45",8,11
"20","2014/03/03 06:00",9,10
"21","2014/03/03 06:15",16,19
"22","2014/03/03 06:30",21,26
"23","2014/03/03 06:45",23,33
"24","2014/03/03 07:00",31,40
"25","2014/03/03 07:15",39,40
"26","2014/03/03 07:30",37,43
"27","2014/03/03 07:45",36,39
"28","2014/03/03 08:00",32,37
"29","2014/03/03 08:15",35,34
"30","2014/03/03 08:30",28,28
"31","2014/03/03 08:45",15,16
"32","2014/03/03 09:00",13,13
"33","2014/03/03 09:15",21,20
"34","2014/03/03 09:30",13,13
"35","2014/03/03 09:45",9,12
"36","2014/03/03 10:00",8,11
"37","2014/03/03 10:15",11,12
"38","2014/03/03 10:30",9,9
"39","2014/03/03 10:45",7,7
"40","2014/03/03 11:00",7,8
"41","2014/03/03 11:15",16,14
"42","2014/03/03 11:30",17,13
"43","2014/03/03 11:45",5,6
"44","2014/03/03 12:00",7,8
"45","2014/03/03 12:15",8,9
"46","2014/03/03 12:30",5,7
"47","2014/03/03 12:45",5,6
"48","2014/03/03 13:00",4,5
"49","2014/03/03 13:15",7,8
"50","2014/03/03 13:30",4,6
"51","2014/03/03 13:45",5,6
"52","2014/03/03 14:00",6,6
"53","2014/03/03 14:15",8,8
"54","2014/03/03 14:30",6,6
"55","2014/03/03 14:45",7,8
"56","2014/03/03 15:00",5,6
"57","2014/03/03 15:15",8,9
"58","2014/03/03 15:30",6,7
"59","2014/03/03 15:45",6,7
"60","2014/03/03 16:00",6,8
"61","2014/03/03 16:15",6,7
"62","2014/03/03 16:30",4,6
"63","2014/03/03 16:45",6,7
"64","2014/03/03 17:00",6,15
"65","2014/03/03 17:15",9,10
"66","2014/03/03 17:30",13,16
"67","2014/03/03 17:45",11,14
"68","2014/03/03 18:00",10,11
"69","2014/03/03 18:15",9,10
"70","2014/03/03 18:30",7,7
"71","2014/03/03 18:45",6,7
"72","2014/03/03 19:00",5,5
"73","2014/03/03 19:15",7,8
"74","2014/03/03 19:30",6,8
"75","2014/03/03 19:45",6,7
"76","2014/03/03 20:00",5,7
"77","2014/03/03 20:15",8,9
"78","2014/03/03 20:30",3,4
"79","2014/03/03 20:45",3,4
"80","2014/03/03 21:00",3,4
"81","2014/03/03 21:15",5,6
"82","2014/03/03 21:30",3,4
"83","2014/03/03 21:45",4,5
"84","2014/03/03 22:00",3,3
"85","2014/03/03 22:15",7,7
"86","2014/03/03 22:30",6,7
"87","2014/03/03 22:45",7,8
"88","2014/03/03 23:00",6,7
"89","2014/03/03 23:15",10,8
"90","2014/03/03 23:30",6,6
"91","2014/03/03 23:45",6,8
"92","2014/03/04 00:00",6,8
"93","2014/03/04 00:15",12,11
"94","2014/03/04 00:30",8,10
"95","2014/03/04 00:45",9,10
"96","2014/03/04 01:00",9,9
"97","2014/03/04 01:15",11,12
"98","2014/03/04 01:30",9,11
"99","2014/03/04 01:45",12,12
"100","2014/03/04 02:00",15,13
"101","2014/03/04 02:15",13,15
"102","2014/03/04 02:30",8,9
"103","2014/03/04 02:45",9,12
"104","2014/03/04 03:00",7,8
"105","2014/03/04 03:15",8,10
"106","2014/03/04 03:30",5,9
"107","2014/03/04 03:45",5,7
"108","2014/03/04 04:00",6,9
"109","2014/03/04 04:15",12,12
"110","2014/03/04 04:30",5,9
"111","2014/03/04 04:45",5,6
"112","2014/03/04 05:00",5,7
"113","2014/03/04 05:15",14,16
"114","2014/03/04 05:30",11,13
"115","2014/03/04 05:45",10,13
"116","2014/03/04 06:00",12,13
"117","2014/03/04 06:15",16,22
"118","2014/03/04 06:30",19,26
"119","2014/03/04 06:45",17,20
"120","2014/03/04 07:00",17,21
"121","2014/03/04 07:15",22,23
"122","2014/03/04 07:30",22,27
"123","2014/03/04 07:45",19,21
"124","2014/03/04 08:00",22,23
"125","2014/03/04 08:15",23,24
"126","2014/03/04 08:30",15,17
"127","2014/03/04 08:45",15,16
"128","2014/03/04 09:00",15,15
"129","2014/03/04 09:15",15,16
"130","2014/03/04 09:30",13,12
"131","2014/03/04 09:45",14,13
"132","2014/03/04 10:00",16,16
"133","2014/03/04 10:15",17,16
"134","2014/03/04 10:30",11,11
"135","2014/03/04 10:45",11,11
"136","2014/03/04 11:00",11,10
"137","2014/03/04 11:15",14,14
"138","2014/03/04 11:30",11,11
"139","2014/03/04 11:45",6,7
"140","2014/03/04 12:00",8,9
"141","2014/03/04 12:15",9,10
"142","2014/03/04 12:30",6,7
"143","2014/03/04 12:45",8,9
"144","2014/03/04 13:00",8,9
"145","2014/03/04 13:15",10,11
"146","2014/03/04 13:30",8,9
"147","2014/03/04 13:45",9,10
"148","2014/03/04 14:00",9,10
"149","2014/03/04 14:15",13,15
"150","2014/03/04 14:30",11,10
"151","2014/03/04 14:45",8,10
"152","2014/03/04 15:00",9,11
"153","2014/03/04 15:15",11,13
"154","2014/03/04 15:30",8,9
"155","2014/03/04 15:45",9,10
"156","2014/03/04 16:00",8,10
"157","2014/03/04 16:15",10,10
"158","2014/03/04 16:30",10,10
"159","2014/03/04 16:45",11,12
"160","2014/03/04 17:00",10,11
"161","2014/03/04 17:15",13,16
"162","2014/03/04 17:30",10,13
"163","2014/03/04 17:45",9,10
"164","2014/03/04 18:00",7,9
"165","2014/03/04 18:15",10,10
"166","2014/03/04 18:30",8,9
