PHY_Long_LDEV_5-10.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:01:B4","00:01:E2","00:01:E3"
"1","2014/03/03 01:15",7,5,2
"2","2014/03/03 01:30",11,9,4
"3","2014/03/03 01:45",8,6,3
"4","2014/03/03 02:00",5,4,1
"5","2014/03/03 02:15",7,6,2
"6","2014/03/03 02:30",7,5,2
"7","2014/03/03 02:45",6,4,1
"8","2014/03/03 03:00",7,4,2
"9","2014/03/03 03:15",6,4,2
"10","2014/03/03 03:30",3,2,1
"11","2014/03/03 03:45",4,3,1
"12","2014/03/03 04:00",3,2,0
"13","2014/03/03 04:15",7,5,2
"14","2014/03/03 04:30",3,3,0
"15","2014/03/03 04:45",3,2,0
"16","2014/03/03 05:00",3,2,0
"17","2014/03/03 05:15",11,8,4
"18","2014/03/03 05:30",8,7,3
"19","2014/03/03 05:45",8,7,3
"20","2014/03/03 06:00",9,8,4
"21","2014/03/03 06:15",18,15,7
"22","2014/03/03 06:30",21,17,9
"23","2014/03/03 06:45",25,19,8
"24","2014/03/03 07:00",34,27,13
"25","2014/03/03 07:15",35,27,13
"26","2014/03/03 07:30",34,28,14
"27","2014/03/03 07:45",35,28,14
"28","2014/03/03 08:00",32,27,14
"29","2014/03/03 08:15",36,28,14
"30","2014/03/03 08:30",28,23,10
"31","2014/03/03 08:45",16,12,5
"32","2014/03/03 09:00",12,9,4
"33","2014/03/03 09:15",22,17,7
"34","2014/03/03 09:30",14,11,4
"35","2014/03/03 09:45",11,9,3
"36","2014/03/03 10:00",11,9,4
"37","2014/03/03 10:15",15,11,5
"38","2014/03/03 10:30",8,7,3
"39","2014/03/03 10:45",7,6,3
"40","2014/03/03 11:00",11,8,3
"41","2014/03/03 11:15",14,12,6
"42","2014/03/03 11:30",13,10,5
"43","2014/03/03 11:45",6,5,2
"44","2014/03/03 12:00",8,6,3
"45","2014/03/03 12:15",9,7,3
"46","2014/03/03 12:30",8,5,2
"47","2014/03/03 12:45",6,5,2
"48","2014/03/03 13:00",5,4,2
"49","2014/03/03 13:15",7,6,2
"50","2014/03/03 13:30",4,4,1
"51","2014/03/03 13:45",5,5,1
"52","2014/03/03 14:00",5,4,2
"53","2014/03/03 14:15",7,5,2
"54","2014/03/03 14:30",5,5,2
"55","2014/03/03 14:45",7,6,2
"56","2014/03/03 15:00",5,5,2
"57","2014/03/03 15:15",8,6,3
"58","2014/03/03 15:30",5,4,2
"59","2014/03/03 15:45",5,4,2
"60","2014/03/03 16:00",6,5,2
"61","2014/03/03 16:15",6,5,2
"62","2014/03/03 16:30",5,4,2
"63","2014/03/03 16:45",6,5,2
"64","2014/03/03 17:00",13,10,4
"65","2014/03/03 17:15",10,7,3
"66","2014/03/03 17:30",15,11,6
"67","2014/03/03 17:45",11,9,4
"68","2014/03/03 18:00",9,6,3
"69","2014/03/03 18:15",9,7,3
"70","2014/03/03 18:30",7,6,2
"71","2014/03/03 18:45",5,4,1
"72","2014/03/03 19:00",6,4,1
"73","2014/03/03 19:15",8,6,2
"74","2014/03/03 19:30",7,5,1
"75","2014/03/03 19:45",7,5,2
"76","2014/03/03 20:00",7,5,2
"77","2014/03/03 20:15",9,7,2
"78","2014/03/03 20:30",4,3,1
"79","2014/03/03 20:45",4,3,1
"80","2014/03/03 21:00",3,3,1
