PHY_Short_LDEV_13-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:1A:18","00:FE:20","00:FE:22"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",6,5,6
"3","2014/04/01 17:38",5,5,7
"4","2014/04/01 17:43",5,5,7
"5","2014/04/01 17:48",5,5,6
"6","2014/04/01 17:53",5,4,6
"7","2014/04/01 17:58",4,4,5
"8","2014/04/01 18:03",4,4,5
"9","2014/04/01 18:08",6,6,7
"10","2014/04/01 18:13",4,3,4
"11","2014/04/01 18:18",5,4,5
"12","2014/04/01 18:23",4,4,5
"13","2014/04/01 18:28",4,4,5
"14","2014/04/01 18:33",4,4,5
"15","2014/04/01 18:38",4,4,5
"16","2014/04/01 18:43",5,4,5
"17","2014/04/01 18:48",4,4,5
"18","2014/04/01 18:53",3,4,5
"19","2014/04/01 18:58",3,3,3
"20","2014/04/01 19:03",3,4,5
"21","2014/04/01 19:08",5,6,8
"22","2014/04/01 19:13",3,4,4
"23","2014/04/01 19:18",4,5,5
"24","2014/04/01 19:23",4,4,5
"25","2014/04/01 19:28",7,4,5
"26","2014/04/01 19:33",6,5,6
"27","2014/04/01 19:38",5,4,5
"28","2014/04/01 19:43",18,14,17
"29","2014/04/01 19:48",9,7,10
"30","2014/04/01 19:53",7,6,8
"31","2014/04/01 19:58",4,5,5
"32","2014/04/01 20:03",6,5,7
"33","2014/04/01 20:08",6,6,8
"34","2014/04/01 20:13",4,5,6
"35","2014/04/01 20:18",4,4,4
"36","2014/04/01 20:23",4,4,5
"37","2014/04/01 20:28",4,4,5
"38","2014/04/01 20:33",4,4,5
"39","2014/04/01 20:38",4,4,5
"40","2014/04/01 20:43",3,4,4
"41","2014/04/01 20:48",3,4,4
"42","2014/04/01 20:53",3,3,4
"43","2014/04/01 20:58",3,3,4
"44","2014/04/01 21:03",4,4,5
"45","2014/04/01 21:08",7,6,8
"46","2014/04/01 21:13",5,4,5
"47","2014/04/01 21:18",4,4,5
"48","2014/04/01 21:23",5,4,6
"49","2014/04/01 21:28",4,4,4
"50","2014/04/01 21:33",4,3,5
"51","2014/04/01 21:38",4,3,5
"52","2014/04/01 21:43",4,5,6
"53","2014/04/01 21:48",3,5,6
"54","2014/04/01 21:53",4,4,5
"55","2014/04/01 21:58",2,2,3
"56","2014/04/01 22:03",4,3,4
"57","2014/04/01 22:08",8,8,11
"58","2014/04/01 22:13",5,5,7
"59","2014/04/01 22:18",4,4,5
"60","2014/04/01 22:23",4,4,5
"61","2014/04/01 22:28",5,5,8
"62","2014/04/01 22:33",6,4,7
"63","2014/04/01 22:38",5,5,7
"64","2014/04/01 22:43",4,5,6
"65","2014/04/01 22:48",4,6,7
"66","2014/04/01 22:53",4,7,8
"67","2014/04/01 22:58",6,9,11
"68","2014/04/01 23:03",8,10,15
"69","2014/04/01 23:08",9,11,16
"70","2014/04/01 23:13",7,8,11
"71","2014/04/01 23:18",8,7,11
"72","2014/04/01 23:23",7,8,12
"73","2014/04/01 23:28",6,6,11
"74","2014/04/01 23:33",7,7,10
"75","2014/04/01 23:38",7,8,9
"76","2014/04/01 23:43",10,10,12
"77","2014/04/01 23:48",7,10,11
"78","2014/04/01 23:53",7,12,12
"79","2014/04/01 23:58",5,8,13
"80","2014/04/02 00:03",5,6,9
"81","2014/04/02 00:08",8,12,12
"82","2014/04/02 00:13",4,6,7
"83","2014/04/02 00:18",5,5,6
"84","2014/04/02 00:23",4,5,6
"85","2014/04/02 00:28",5,5,7
"86","2014/04/02 00:33",5,6,8
"87","2014/04/02 00:38",3,4,6
"88","2014/04/02 00:43",3,4,5
"89","2014/04/02 00:48",4,3,5
"90","2014/04/02 00:53",3,5,6
"91","2014/04/02 00:58",3,4,5
"92","2014/04/02 01:03",3,4,9
"93","2014/04/02 01:08",6,6,8
"94","2014/04/02 01:13",3,3,5
"95","2014/04/02 01:18",5,4,6
"96","2014/04/02 01:23",3,4,5
