PHY_Short_LDEV_13-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:21","00:2A:DF","00:2A:E0","00:2A:E1","00:2A:E2","00:2A:E3","00:2A:E4","00:2A:E5","00:3B:6B","00:FE:3D","00:FE:40","00:FE:41"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,13,11,8
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,0,12,9,6
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,13,9,6
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,12,10,6
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,0,13,11,8
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,9,6,5
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,9,7,4
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,13,11,8
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,10,6,5
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,11,7,6
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,11,7,5
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,11,8,6
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,10,6,5
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,10,8,7
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,9,7,5
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,8,6,4
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,8,7,5
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,7,7,4
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,7,7,5
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,11,11,7
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,8,7,5
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,10,9,5
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,11,7,5
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,14,10,7
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,12,9,7
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,12,8,5
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,29,29,18
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,23,23,13
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,17,18,11
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,13,10,7
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,13,12,7
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,12,11,8
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,9,9,8
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,8,8,5
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,8,7,5
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,9,9,5
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,9,8,6
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,9,8,5
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,7,8,5
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,7,8,5
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,7,6,4
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,6,6,4
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,8,11,5
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,11,15,8
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,8,10,5
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,8,9,6
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,11,11,7
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,9,12,7
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,9,9,6
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,8,8,5
"52","2014/04/01 21:43",0,0,0,0,0,0,0,0,0,8,9,5
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,0,7,8,5
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,0,8,7,5
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0,5,5,3
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,0,6,7,6
"57","2014/04/01 22:08",0,0,0,0,0,0,0,0,0,14,20,12
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,9,13,7
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,0,9,9,6
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,0,8,7,5
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,9,8,6
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,0,10,9,7
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,8,9,10
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,0,8,8,9
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,0,9,10,9
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,10,12,10
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,11,14,11
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,0,13,17,13
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,17,22,16
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,14,18,12
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,14,17,10
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,15,18,9
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,11,17,8
"74","2014/04/01 23:33",0,0,0,0,1,0,0,0,0,13,15,10
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,18,20,11
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,15,19,14
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,13,19,12
"78","2014/04/01 23:53",0,0,0,0,9,0,0,0,0,10,17,10
"79","2014/04/01 23:58",0,0,0,0,4,0,0,5,0,11,14,9
"80","2014/04/02 00:03",0,0,0,0,0,0,0,9,0,11,13,9
"81","2014/04/02 00:08",0,0,0,0,3,0,0,1,0,13,16,12
"82","2014/04/02 00:13",0,0,0,0,7,0,0,0,0,10,12,9
"83","2014/04/02 00:18",0,0,0,0,5,0,0,0,0,8,14,8
"84","2014/04/02 00:23",0,0,0,0,4,0,0,6,0,9,12,7
"85","2014/04/02 00:28",0,0,0,0,6,0,0,2,0,8,10,7
"86","2014/04/02 00:33",0,0,0,0,3,0,0,2,0,10,11,7
"87","2014/04/02 00:38",0,0,0,0,0,0,0,2,0,10,14,8
"88","2014/04/02 00:43",0,0,0,0,0,0,0,0,0,6,12,8
"89","2014/04/02 00:48",0,0,0,0,0,0,0,0,0,6,11,5
"90","2014/04/02 00:53",0,0,0,0,7,0,0,7,0,9,11,7
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0,7,11,6
"92","2014/04/02 01:03",0,0,0,0,0,0,0,0,0,6,9,6
"93","2014/04/02 01:08",0,0,0,0,3,0,0,5,0,10,13,8
"94","2014/04/02 01:13",0,0,0,0,0,0,0,2,0,9,12,6
"95","2014/04/02 01:18",0,0,0,0,0,0,0,1,0,10,12,10
"96","2014/04/02 01:23",0,0,0,0,0,0,0,0,0,8,11,10
