PHY_Short_LDEV_13-5.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:32:4F","00:FE:37","00:FE:38"
"1","2014/04/01 17:28",-4,-4,-4
"2","2014/04/01 17:33",0,9,9
"3","2014/04/01 17:38",0,7,8
"4","2014/04/01 17:43",0,9,8
"5","2014/04/01 17:48",0,9,9
"6","2014/04/01 17:53",0,7,7
"7","2014/04/01 17:58",0,5,5
"8","2014/04/01 18:03",0,7,7
"9","2014/04/01 18:08",0,10,10
"10","2014/04/01 18:13",0,7,6
"11","2014/04/01 18:18",0,6,6
"12","2014/04/01 18:23",0,7,6
"13","2014/04/01 18:28",0,7,6
"14","2014/04/01 18:33",0,6,5
"15","2014/04/01 18:38",0,7,6
"16","2014/04/01 18:43",0,7,6
"17","2014/04/01 18:48",0,6,6
"18","2014/04/01 18:53",0,7,6
"19","2014/04/01 18:58",0,6,5
"20","2014/04/01 19:03",0,7,6
"21","2014/04/01 19:08",0,10,10
"22","2014/04/01 19:13",0,7,6
"23","2014/04/01 19:18",0,8,7
"24","2014/04/01 19:23",0,7,6
"25","2014/04/01 19:28",0,10,8
"26","2014/04/01 19:33",0,8,7
"27","2014/04/01 19:38",0,8,7
"28","2014/04/01 19:43",0,26,29
"29","2014/04/01 19:48",0,14,15
"30","2014/04/01 19:53",0,13,13
"31","2014/04/01 19:58",0,8,8
"32","2014/04/01 20:03",0,10,10
"33","2014/04/01 20:08",0,11,11
"34","2014/04/01 20:13",0,8,8
"35","2014/04/01 20:18",0,7,6
"36","2014/04/01 20:23",0,7,6
"37","2014/04/01 20:28",0,7,7
"38","2014/04/01 20:33",0,7,7
"39","2014/04/01 20:38",0,8,7
"40","2014/04/01 20:43",0,7,6
"41","2014/04/01 20:48",0,7,6
"42","2014/04/01 20:53",0,6,6
"43","2014/04/01 20:58",0,6,6
"44","2014/04/01 21:03",0,8,7
"45","2014/04/01 21:08",0,12,11
"46","2014/04/01 21:13",0,7,6
"47","2014/04/01 21:18",0,7,7
"48","2014/04/01 21:23",0,9,8
"49","2014/04/01 21:28",0,9,8
"50","2014/04/01 21:33",0,9,8
"51","2014/04/01 21:38",0,7,6
"52","2014/04/01 21:43",0,7,6
"53","2014/04/01 21:48",0,6,5
"54","2014/04/01 21:53",0,7,6
"55","2014/04/01 21:58",0,4,3
"56","2014/04/01 22:03",0,7,6
"57","2014/04/01 22:08",0,15,14
"58","2014/04/01 22:13",0,11,9
"59","2014/04/01 22:18",0,7,6
"60","2014/04/01 22:23",0,8,7
"61","2014/04/01 22:28",0,10,10
"62","2014/04/01 22:33",0,9,8
"63","2014/04/01 22:38",0,8,7
"64","2014/04/01 22:43",0,7,7
"65","2014/04/01 22:48",0,9,9
"66","2014/04/01 22:53",0,9,10
"67","2014/04/01 22:58",0,11,10
"68","2014/04/01 23:03",0,16,15
"69","2014/04/01 23:08",0,19,19
"70","2014/04/01 23:13",0,15,16
"71","2014/04/01 23:18",0,16,17
"72","2014/04/01 23:23",0,17,15
"73","2014/04/01 23:28",0,16,16
"74","2014/04/01 23:33",0,15,14
"75","2014/04/01 23:38",0,18,19
"76","2014/04/01 23:43",0,14,16
"77","2014/04/01 23:48",0,14,13
"78","2014/04/01 23:53",0,12,12
"79","2014/04/01 23:58",0,12,12
"80","2014/04/02 00:03",0,12,12
"81","2014/04/02 00:08",0,15,15
"82","2014/04/02 00:13",0,10,9
"83","2014/04/02 00:18",0,9,9
"84","2014/04/02 00:23",0,13,11
"85","2014/04/02 00:28",0,13,13
"86","2014/04/02 00:33",0,9,10
"87","2014/04/02 00:38",0,7,8
"88","2014/04/02 00:43",0,7,7
"89","2014/04/02 00:48",0,6,6
"90","2014/04/02 00:53",0,7,7
"91","2014/04/02 00:58",0,7,7
"92","2014/04/02 01:03",0,6,6
"93","2014/04/02 01:08",0,10,11
"94","2014/04/02 01:13",0,6,6
"95","2014/04/02 01:18",0,8,7
"96","2014/04/02 01:23",0,7,7
