PHY_Short_LDEV_13-6.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:35","00:FE:36"
"1","2014/04/01 17:28",-4,-4
"2","2014/04/01 17:33",8,8
"3","2014/04/01 17:38",7,8
"4","2014/04/01 17:43",8,7
"5","2014/04/01 17:48",9,8
"6","2014/04/01 17:53",7,7
"7","2014/04/01 17:58",5,5
"8","2014/04/01 18:03",6,6
"9","2014/04/01 18:08",11,10
"10","2014/04/01 18:13",6,5
"11","2014/04/01 18:18",6,6
"12","2014/04/01 18:23",7,7
"13","2014/04/01 18:28",7,7
"14","2014/04/01 18:33",6,5
"15","2014/04/01 18:38",6,6
"16","2014/04/01 18:43",7,7
"17","2014/04/01 18:48",6,6
"18","2014/04/01 18:53",7,7
"19","2014/04/01 18:58",6,6
"20","2014/04/01 19:03",6,6
"21","2014/04/01 19:08",10,10
"22","2014/04/01 19:13",6,6
"23","2014/04/01 19:18",9,8
"24","2014/04/01 19:23",7,7
"25","2014/04/01 19:28",9,9
"26","2014/04/01 19:33",8,8
"27","2014/04/01 19:38",9,8
"28","2014/04/01 19:43",30,29
"29","2014/04/01 19:48",15,14
"30","2014/04/01 19:53",13,13
"31","2014/04/01 19:58",8,8
"32","2014/04/01 20:03",9,10
"33","2014/04/01 20:08",12,11
"34","2014/04/01 20:13",8,8
"35","2014/04/01 20:18",7,7
"36","2014/04/01 20:23",7,7
"37","2014/04/01 20:28",7,7
"38","2014/04/01 20:33",8,8
"39","2014/04/01 20:38",8,7
"40","2014/04/01 20:43",7,7
"41","2014/04/01 20:48",6,6
"42","2014/04/01 20:53",6,6
"43","2014/04/01 20:58",6,6
"44","2014/04/01 21:03",8,9
"45","2014/04/01 21:08",13,14
"46","2014/04/01 21:13",8,8
"47","2014/04/01 21:18",7,7
"48","2014/04/01 21:23",9,8
"49","2014/04/01 21:28",8,8
"50","2014/04/01 21:33",8,9
"51","2014/04/01 21:38",7,7
"52","2014/04/01 21:43",7,6
"53","2014/04/01 21:48",6,6
"54","2014/04/01 21:53",7,7
"55","2014/04/01 21:58",3,4
"56","2014/04/01 22:03",6,7
"57","2014/04/01 22:08",15,16
"58","2014/04/01 22:13",11,12
"59","2014/04/01 22:18",6,6
"60","2014/04/01 22:23",8,8
"61","2014/04/01 22:28",11,12
"62","2014/04/01 22:33",9,8
"63","2014/04/01 22:38",8,9
"64","2014/04/01 22:43",7,8
"65","2014/04/01 22:48",9,8
"66","2014/04/01 22:53",9,10
"67","2014/04/01 22:58",11,9
"68","2014/04/01 23:03",14,14
"69","2014/04/01 23:08",18,19
"70","2014/04/01 23:13",16,14
"71","2014/04/01 23:18",15,14
"72","2014/04/01 23:23",17,17
"73","2014/04/01 23:28",14,12
"74","2014/04/01 23:33",15,16
"75","2014/04/01 23:38",15,14
"76","2014/04/01 23:43",15,14
"77","2014/04/01 23:48",13,11
"78","2014/04/01 23:53",14,12
"79","2014/04/01 23:58",11,12
"80","2014/04/02 00:03",10,10
"81","2014/04/02 00:08",16,15
"82","2014/04/02 00:13",8,7
"83","2014/04/02 00:18",11,11
"84","2014/04/02 00:23",15,14
"85","2014/04/02 00:28",10,8
"86","2014/04/02 00:33",8,8
"87","2014/04/02 00:38",8,8
"88","2014/04/02 00:43",6,6
"89","2014/04/02 00:48",6,6
"90","2014/04/02 00:53",7,6
"91","2014/04/02 00:58",7,5
"92","2014/04/02 01:03",5,6
"93","2014/04/02 01:08",11,12
"94","2014/04/02 01:13",7,6
"95","2014/04/02 01:18",9,8
"96","2014/04/02 01:23",8,8
