PHY_Long_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"1","2014/03/03 01:15",0,0,0,0,0,0,0,0,0,0,0,5,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,17,14,17,16,15,0,0,0,0,12,12,13,13,13,12,10,11,12,10,12,11,12,13,10,12,12,10,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,9,15,40,29,28,19,17,19,30,15,24,7,12,15,13,22,14
"2","2014/03/03 01:30",0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,22,21,23,25,21,0,0,0,0,11,12,12,14,13,14,12,13,15,12,14,13,13,14,12,12,14,12,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,12,18,39,35,34,21,20,20,38,23,31,9,19,20,15,32,20
"3","2014/03/03 01:45",0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,21,19,20,18,17,0,0,0,0,10,10,11,13,12,12,9,10,12,9,11,10,11,12,10,14,12,10,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,9,14,32,26,24,16,16,16,33,16,28,9,13,16,11,23,14
"4","2014/03/03 02:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,12,11,15,11,13,0,0,0,0,9,7,8,9,9,8,8,9,10,9,7,7,8,9,8,8,7,9,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,9,21,20,20,15,14,12,24,11,16,5,10,10,8,17,11
"5","2014/03/03 02:15",0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,22,0,17,14,20,17,19,0,0,0,4,9,8,9,10,10,10,7,8,11,8,9,8,10,11,8,11,10,8,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,7,14,35,30,27,15,16,18,29,15,25,8,14,14,14,25,17
"6","2014/03/03 02:30",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,49,0,0,9,0,10,9,11,16,10,0,0,0,14,7,6,6,6,6,5,5,5,6,5,7,6,7,6,5,4,5,5,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,10,24,18,19,11,11,12,23,15,18,6,10,12,10,21,14
"7","2014/03/03 02:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,8,0,0,0,0,15,14,14,13,11,0,0,0,20,5,5,6,6,6,5,4,4,6,4,5,5,5,6,4,5,4,5,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,10,25,19,18,13,11,12,24,12,20,7,9,11,8,18,12
"8","2014/03/03 03:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,2,0,16,14,20,15,16,0,0,0,29,5,5,5,5,5,5,5,6,7,6,5,5,6,6,5,5,4,6,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,4,10,27,19,19,13,13,14,28,13,20,6,11,11,9,19,13
"9","2014/03/03 03:15",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,4,0,14,13,14,14,11,0,0,0,34,8,7,7,8,8,8,8,9,9,8,8,8,10,11,8,10,8,9,0,0,1,0,-1,0,0,0,0,-1,-1,0,2,-1,0,8,28,29,22,22,15,13,15,23,13,21,7,10,11,11,18,12
"10","2014/03/03 03:30",0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,9,0,0,14,15,8,7,11,7,7,0,0,1,30,12,12,12,10,10,9,9,9,9,10,11,9,10,11,9,11,10,9,0,0,1,0,-1,0,0,0,0,-1,-1,0,8,-1,0,10,44,23,14,14,8,7,10,13,8,11,3,6,6,9,16,10
