PHY_Long_DKP.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","DKP40-1AU","DKP41-1AU","DKP42-1AU","DKP43-1AU","DKP50-1BU","DKP51-1BU","DKP52-1BU","DKP53-1BU","DKP44-1AL","DKP45-1AL","DKP46-1AL","DKP47-1AL","DKP54-1BL","DKP55-1BL","DKP56-1BL","DKP57-1BL","DKP60-1LU","DKP61-1LU","DKP62-1LU","DKP63-1LU","DKP70-1KU","DKP71-1KU","DKP72-1KU","DKP73-1KU","DKP64-1LL","DKP65-1LL","DKP66-1LL","DKP67-1LL","DKP74-1KL","DKP75-1KL","DKP76-1KL","DKP77-1KL","DKPC0-2MU","DKPC1-2MU","DKPC2-2MU","DKPC3-2MU","DKPD0-2NU","DKPD1-2NU","DKPD2-2NU","DKPD3-2NU","DKPC4-2ML","DKPC5-2ML","DKPC6-2ML","DKPC7-2ML","DKPD4-2NL","DKPD5-2NL","DKPD6-2NL","DKPD7-2NL","DKPE0-2XU","DKPE1-2XU","DKPE2-2XU","DKPE3-2XU","DKPF0-2WU","DKPF1-2WU","DKPF2-2WU","DKPF3-2WU","DKPE4-2XL","DKPE5-2XL","DKPE6-2XL","DKPE7-2XL","DKPF4-2WL","DKPF5-2WL","DKPF6-2WL","DKPF7-2WL"
"1","2014/03/03 01:15",5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,17,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,17,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4
"2","2014/03/03 01:30",4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,19,15,15,15,16,16,15,16,15,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,19,15,15,15,15,16,15,16,15,5,5,5,5,5,5,5,5
"3","2014/03/03 01:45",3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5
"4","2014/03/03 02:00",2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3
"5","2014/03/03 02:15",3,3,3,3,3,3,3,3,17,16,16,17,17,16,17,17,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,17,17,17,17,17,16,16,17,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4
"6","2014/03/03 02:30",2,1,2,2,2,2,2,2,16,16,15,16,16,15,16,16,8,8,7,8,8,8,8,7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,16,16,16,16,16,16,16,16,7,7,7,8,8,8,8,7,2,2,2,2,2,2,2,2
"7","2014/03/03 02:45",2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,14,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,14,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"8","2014/03/03 03:00",2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,7,7,7,7,8,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,7,7,7,7,8,7,7,7,2,2,2,2,2,2,2,2
"9","2014/03/03 03:15",2,2,2,3,2,2,2,2,15,15,15,15,15,15,15,15,10,10,10,10,11,10,10,10,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,15,15,15,15,15,15,15,15,10,10,10,10,11,10,11,10,3,3,3,3,3,3,3,3
"10","2014/03/03 03:30",4,3,4,4,4,4,4,4,14,14,13,14,13,13,13,14,12,12,12,12,13,13,13,12,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,14,14,14,13,14,14,14,14,13,12,13,12,13,12,12,12,4,4,4,4,4,4,4,4
"11","2014/03/03 03:45",4,4,4,4,4,4,4,4,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,13,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3,3,3,3,3,3,3,3
"12","2014/03/03 04:00",4,4,4,4,4,4,4,4,13,13,13,13,13,13,13,13,11,11,11,12,12,11,12,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,13,13,13,13,13,14,11,11,11,11,12,11,11,11,4,4,4,4,4,4,4,4
"13","2014/03/03 04:15",3,3,3,3,3,3,3,3,19,18,18,19,18,18,18,19,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,19,18,19,19,19,18,19,19,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4
"14","2014/03/03 04:30",2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,14,14,14,14,14,14,14,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2
"15","2014/03/03 04:45",2,2,2,2,2,2,2,2,11,10,10,11,10,10,10,11,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,10,11,10,10,11,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"16","2014/03/03 05:00",2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,8,8,9,8,9,8,9,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,9,8,9,8,9,8,8,8,2,2,2,2,2,2,2,2
"17","2014/03/03 05:15",4,4,4,4,4,4,4,4,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"18","2014/03/03 05:30",2,2,2,2,2,2,2,2,16,16,16,17,16,16,16,17,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,17,16,16,17,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"19","2014/03/03 05:45",3,3,2,3,3,3,2,3,15,15,15,16,16,15,15,16,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,16,15,15,16,16,15,15,16,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
"20","2014/03/03 06:00",2,2,2,2,2,2,2,2,16,16,16,17,16,16,16,17,7,7,7,7,7,6,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,17,17,16,16,17,7,7,6,6,7,7,7,6,2,2,2,2,2,2,2,2
"21","2014/03/03 06:15",5,5,5,5,5,6,5,5,25,24,24,25,25,24,24,25,8,9,8,8,9,8,8,8,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,25,25,25,25,25,24,24,25,8,8,9,8,9,8,8,8,2,2,2,2,2,2,2,2
"22","2014/03/03 06:30",5,5,5,5,5,5,5,5,30,30,30,31,31,30,30,31,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,30,30,30,31,31,31,30,31,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3
"23","2014/03/03 06:45",4,4,4,4,3,4,4,4,33,34,34,34,34,34,34,34,12,12,12,12,13,12,12,12,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,34,34,34,34,34,34,34,35,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4
"24","2014/03/03 07:00",4,4,4,4,4,4,4,4,36,36,36,36,35,35,35,36,10,10,10,10,10,10,10,10,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,36,35,36,36,35,36,36,36,10,10,10,10,10,10,10,10,4,3,4,4,4,4,4,4
"25","2014/03/03 07:15",5,4,5,4,5,5,5,5,37,36,37,37,36,36,36,37,11,11,11,11,11,11,11,11,4,3,3,4,4,4,4,4,5,4,5,5,5,5,5,5,37,36,37,37,37,36,37,37,12,11,11,11,12,11,11,11,4,3,3,4,4,3,4,3
"26","2014/03/03 07:30",6,5,5,6,5,6,5,6,37,37,38,38,38,37,37,38,10,10,10,10,11,10,10,10,4,4,4,4,4,4,4,4,6,5,5,5,5,6,5,6,37,37,38,38,38,37,37,38,10,10,10,10,11,10,10,10,4,4,4,4,4,4,4,4
"27","2014/03/03 07:45",8,8,8,8,8,9,9,9,39,38,39,39,39,38,39,39,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,8,8,8,8,9,9,9,9,39,39,39,39,39,38,39,39,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4
"28","2014/03/03 08:00",7,7,7,7,8,8,8,8,38,38,38,38,37,37,37,38,9,9,9,9,10,9,9,9,3,3,3,3,3,3,3,3,7,7,7,7,8,8,8,8,38,38,38,38,37,37,37,38,9,9,9,9,10,9,10,9,3,3,3,3,3,3,3,3
"29","2014/03/03 08:15",8,8,8,8,9,9,8,9,37,37,37,38,37,37,37,38,8,8,8,8,8,8,8,8,3,2,2,2,3,2,3,2,8,8,8,8,9,9,9,9,37,37,37,37,37,37,37,38,8,8,8,8,8,8,8,8,2,2,2,2,3,2,3,2
"30","2014/03/03 08:30",6,6,6,6,6,6,6,6,33,33,33,33,32,32,32,33,7,7,7,7,7,7,7,6,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,33,33,33,33,32,33,33,33,7,7,6,7,7,7,7,6,2,2,2,2,2,2,2,2
"31","2014/03/03 08:45",3,3,3,3,3,3,3,3,22,22,22,22,22,21,22,22,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,22,22,22,22,22,21,22,22,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"32","2014/03/03 09:00",3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,21,5,5,5,5,6,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,21,5,5,5,5,6,5,5,5,1,1,1,1,1,1,1,1
"33","2014/03/03 09:15",4,3,3,3,3,4,3,4,28,27,28,28,28,27,27,28,15,16,16,16,16,16,16,16,5,5,5,5,5,5,5,5,4,3,3,3,4,3,3,4,28,27,27,28,28,27,27,28,16,16,15,16,16,15,16,15,5,5,5,5,5,5,5,5
"34","2014/03/03 09:30",3,3,3,3,3,3,3,3,22,22,22,22,22,22,22,23,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,22,22,22,22,22,22,23,10,10,10,10,11,10,10,10,3,3,3,3,3,3,3,3
"35","2014/03/03 09:45",5,5,4,5,4,5,5,5,19,19,19,19,19,19,19,19,10,11,11,11,11,11,11,10,3,3,3,3,3,3,3,3,5,4,4,5,5,5,5,5,19,19,19,19,19,19,19,20,11,11,11,11,11,11,11,10,3,3,3,3,3,3,3,3
"36","2014/03/03 10:00",4,4,4,5,4,4,4,4,20,20,20,20,20,19,19,20,9,9,9,9,10,9,9,9,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,20,20,20,20,20,20,19,20,9,9,9,9,10,9,9,9,3,3,3,3,3,3,3,3
"37","2014/03/03 10:15",4,4,4,4,4,4,4,4,23,23,22,23,22,22,22,23,7,7,7,7,8,7,7,7,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,23,23,22,23,23,23,23,23,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"38","2014/03/03 10:30",6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,7,8,7,8,8,7,8,7,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,7,8,7,7,8,7,8,8,2,2,2,2,2,2,2,2
"39","2014/03/03 10:45",5,6,5,5,6,6,5,6,15,14,14,15,15,14,14,15,7,7,7,7,7,6,7,7,2,2,2,2,2,2,2,2,5,6,5,5,6,6,6,6,15,14,14,15,15,14,14,15,6,7,7,7,7,7,7,6,2,2,2,2,2,2,2,2
"40","2014/03/03 11:00",5,5,5,5,5,5,5,5,17,17,17,17,17,17,17,18,6,6,6,6,7,6,6,6,2,2,2,2,2,2,2,2,6,5,5,5,5,6,5,5,17,17,17,17,17,17,17,18,6,6,6,6,7,6,6,6,2,2,2,2,2,2,2,2
"41","2014/03/03 11:15",6,6,6,6,6,6,6,7,24,24,24,24,24,24,24,25,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,7,6,6,6,6,6,6,7,24,24,24,24,24,24,24,25,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"42","2014/03/03 11:30",7,7,7,7,7,8,7,8,25,25,25,25,25,24,25,25,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,7,7,7,7,7,8,7,8,25,25,25,24,25,24,25,25,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3
"43","2014/03/03 11:45",5,5,5,5,5,6,5,6,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,2,2,1,2,2,1,1,1,5,5,5,5,5,6,6,6,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,2,1,1,1,2,1,2,1
"44","2014/03/03 12:00",4,4,4,4,5,5,5,5,17,17,17,17,17,17,17,17,6,6,6,6,7,6,6,6,2,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5,18,17,17,17,17,17,17,18,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
"45","2014/03/03 12:15",7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,7,7,7,7,7,8,7,7,16,16,16,16,16,16,16,16,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"46","2014/03/03 12:30",6,6,6,6,7,7,7,7,12,12,12,13,12,12,12,13,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,6,6,6,6,6,7,7,7,12,12,12,12,12,12,12,13,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2
"47","2014/03/03 12:45",8,8,8,8,8,9,8,8,11,11,11,11,11,11,11,12,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,8,8,8,8,8,9,8,8,11,11,11,11,11,11,11,11,6,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
"48","2014/03/03 13:00",7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,6,6,6,6,7,6,6,6,2,1,1,1,1,1,2,1
"49","2014/03/03 13:15",7,7,7,6,7,7,7,7,13,13,13,13,13,13,13,13,7,7,7,7,8,7,7,7,2,2,2,2,2,2,2,2,7,7,7,6,7,7,7,7,13,13,13,13,13,13,13,13,7,7,7,7,8,7,7,7,2,2,2,2,2,2,2,2
"50","2014/03/03 13:30",6,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,3,2,2,2,3,2,3,3,6,6,7,6,7,7,7,7,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,2,2,2,2,2,3,3,2
"51","2014/03/03 13:45",7,7,7,7,7,7,7,7,12,12,12,13,12,12,12,13,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,13,12,12,13,12,12,12,13,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2
"52","2014/03/03 14:00",8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
"53","2014/03/03 14:15",9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,15,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2
