PHY_Short_CHP.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CHP00-1EU","CHP01-1EU","CHP02-1EU","CHP03-1EU","CHP10-1FU","CHP11-1FU","CHP12-1FU","CHP13-1FU","CHP04-1EL","CHP05-1EL","CHP06-1EL","CHP07-1EL","CHP80-2QU","CHP81-2QU","CHP82-2QU","CHP83-2QU","CHP90-2RU","CHP91-2RU","CHP92-2RU","CHP93-2RU","CHP84-2QL","CHP85-2QL","CHP86-2QL","CHP87-2QL"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",5,13,22,11,5,4,10,5,16,24,5,8,5,13,22,12,5,5,11,5,5,24,16,8
"3","2014/04/01 17:38",4,13,24,11,4,4,9,4,13,20,5,7,4,12,25,12,4,4,9,5,5,20,13,7
"4","2014/04/01 17:43",5,13,25,15,6,6,11,7,19,21,6,11,6,13,26,15,5,6,11,6,6,20,20,12
"5","2014/04/01 17:48",6,15,26,10,7,7,12,8,26,19,8,12,7,15,25,10,7,7,12,7,7,20,26,12
"6","2014/04/01 17:53",6,13,28,10,6,6,10,7,21,24,6,11,6,13,28,11,6,6,11,7,7,23,22,10
"7","2014/04/01 17:58",6,11,26,12,5,5,9,6,18,21,6,8,5,11,27,12,5,5,9,6,6,21,18,8
"8","2014/04/01 18:03",4,11,25,11,4,4,12,7,15,24,5,8,4,11,25,11,4,5,12,6,5,23,14,8
"9","2014/04/01 18:08",4,11,28,14,4,4,10,5,14,20,5,8,4,11,28,14,5,4,10,5,5,20,14,8
"10","2014/04/01 18:13",4,11,31,15,4,4,9,5,14,20,5,7,4,11,30,16,4,4,9,5,5,20,13,7
"11","2014/04/01 18:18",4,10,26,8,4,4,9,5,13,18,5,8,4,10,26,8,4,4,9,5,4,18,13,7
"12","2014/04/01 18:23",4,10,25,9,4,4,10,5,13,22,4,8,4,10,25,10,4,4,10,5,5,22,13,7
"13","2014/04/01 18:28",4,11,28,6,4,4,10,5,13,20,5,7,4,11,28,7,4,4,9,5,5,20,13,7
"14","2014/04/01 18:33",5,10,27,25,4,4,9,5,13,21,4,8,4,10,27,26,4,4,8,5,4,21,13,7
"15","2014/04/01 18:38",4,11,24,25,5,5,8,5,14,22,5,7,5,11,24,25,5,5,8,5,5,21,14,7
"16","2014/04/01 18:43",4,13,25,6,4,4,8,5,14,22,5,9,4,12,24,7,4,4,8,5,5,22,15,9
"17","2014/04/01 18:48",4,12,29,5,4,4,8,5,13,19,5,7,5,12,29,6,4,4,9,5,5,19,13,7
"18","2014/04/01 18:53",4,11,20,6,5,4,9,6,15,20,6,8,4,12,19,7,5,5,9,5,5,21,15,8
"19","2014/04/01 18:58",4,10,17,7,4,4,10,5,13,19,5,7,4,11,17,8,4,4,9,5,5,19,12,7
"20","2014/04/01 19:03",5,12,16,29,5,5,11,6,14,22,5,9,5,12,16,29,4,5,11,6,5,22,14,9
"21","2014/04/01 19:08",7,14,23,46,7,6,12,7,24,28,8,11,7,14,24,47,7,7,11,8,8,28,24,11
"22","2014/04/01 19:13",6,13,22,22,5,6,9,6,19,25,6,8,6,12,22,22,6,6,10,6,7,25,19,9
"23","2014/04/01 19:18",5,14,20,23,5,5,11,6,18,24,6,9,5,14,20,24,5,5,11,6,6,23,18,9
"24","2014/04/01 19:23",6,14,24,35,6,5,9,6,19,23,6,9,6,14,24,35,6,5,9,7,7,22,19,9
