Port_IOPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"1","2014/04/01 17:28",0,0,0,513,102,0,498,544,0,0,0,0,0,5,273,0,2005,25,228,0,0,0,525,103,0,491,544,0,0,0,0,0,4,272,0,25,1997,208
"2","2014/04/01 17:33",0,0,0,578,82,0,692,514,0,0,0,0,0,3,562,0,2294,23,266,0,0,0,558,87,0,693,511,0,0,0,0,0,5,564,0,23,2302,270
"3","2014/04/01 17:38",0,0,0,610,106,0,757,538,0,0,0,0,0,5,457,0,2097,24,216,0,0,0,628,109,0,761,538,0,0,0,0,0,4,459,0,24,2103,215
"4","2014/04/01 17:43",0,0,0,542,83,0,794,544,0,0,0,0,0,4,477,0,1956,24,457,0,0,0,524,80,0,803,546,0,0,0,0,0,5,471,0,24,1952,493
"5","2014/04/01 17:48",0,0,0,599,71,0,815,158,0,0,0,0,0,5,437,0,1648,22,435,0,0,0,600,77,0,804,158,0,0,0,0,0,4,440,0,22,1662,423
"6","2014/04/01 17:53",0,0,0,523,112,0,1181,448,0,0,0,0,0,5,415,0,2322,25,441,0,0,0,529,112,0,1190,448,0,0,0,0,0,4,417,0,25,2303,429
"7","2014/04/01 17:58",0,0,0,419,145,0,912,532,0,0,0,0,0,3,361,0,2152,24,244,0,0,0,423,145,0,898,533,0,0,0,0,0,5,339,0,24,2162,231
"8","2014/04/01 18:03",0,0,0,511,104,0,1121,470,0,0,0,0,0,6,665,0,2525,23,351,0,0,0,507,106,0,1146,470,0,0,0,0,0,5,663,0,23,2506,388
"9","2014/04/01 18:08",0,0,0,461,191,0,946,631,0,0,0,0,0,4,523,0,1864,25,258,0,0,0,462,195,0,942,631,0,0,0,0,0,4,526,0,25,1819,279
"10","2014/04/01 18:13",0,0,0,475,453,0,818,823,0,0,0,0,0,4,441,0,2026,25,233,0,0,0,471,451,0,823,819,0,0,0,0,0,5,442,0,25,2027,222
"11","2014/04/01 18:18",0,0,0,478,244,0,828,201,0,0,0,0,0,4,448,0,1814,23,292,0,0,0,478,240,0,831,203,0,0,0,0,0,5,444,0,23,1775,270
"12","2014/04/01 18:23",0,0,0,449,161,0,900,256,0,0,0,0,0,4,576,0,2144,25,289,0,0,0,453,158,0,908,254,0,0,0,0,0,4,563,0,25,2188,272
"13","2014/04/01 18:28",0,0,0,503,87,0,1126,195,0,0,0,0,0,5,484,0,1803,24,204,0,0,0,492,93,0,1128,194,0,0,0,0,0,3,479,0,24,1799,234
"14","2014/04/01 18:33",0,0,0,439,65,0,1484,2104,0,0,0,0,0,3,438,0,2041,23,271,0,0,0,449,68,0,1483,2071,0,0,0,0,0,5,435,0,23,2023,259
"15","2014/04/01 18:38",0,0,0,476,90,0,949,2120,0,0,0,0,0,5,316,0,2035,25,214,0,0,0,468,90,0,948,2091,0,0,0,0,0,4,307,0,25,2058,220
"16","2014/04/01 18:43",0,0,0,541,98,0,979,285,0,0,0,0,0,5,332,0,2341,25,386,0,0,0,540,98,0,977,286,0,0,0,0,0,4,328,0,25,2338,387
"17","2014/04/01 18:48",0,0,0,475,80,0,1404,8,0,0,0,0,0,4,393,0,1897,23,293,0,0,0,487,82,0,1401,8,0,0,0,0,0,5,407,0,23,1908,290
"18","2014/04/01 18:53",0,0,0,562,137,0,540,78,0,0,0,0,1,5,373,0,2028,26,317,0,0,0,565,133,0,546,78,0,0,0,0,0,4,367,0,26,2046,298
"19","2014/04/01 18:58",0,0,0,483,88,0,399,113,0,0,0,0,0,5,473,0,1837,26,257,0,0,0,497,88,0,405,113,0,0,0,0,0,4,463,0,26,1865,268
"20","2014/04/01 19:03",0,0,0,527,75,0,420,429,0,0,0,0,0,6,525,0,2166,23,383,0,0,0,500,74,0,409,429,0,0,0,0,0,6,547,0,23,2137,378
"21","2014/04/01 19:08",0,0,0,472,146,0,471,592,0,0,0,0,0,3,381,0,2439,27,276,0,0,0,498,151,0,476,591,0,0,0,0,0,5,373,0,27,2443,256
"22","2014/04/01 19:13",0,0,0,514,170,0,687,358,0,0,0,0,0,4,322,0,2382,28,243,0,0,0,498,167,0,682,359,0,0,0,0,1,4,320,0,28,2403,244
"23","2014/04/01 19:18",0,0,0,612,149,0,509,191,0,0,0,0,0,5,487,0,2414,26,360,0,0,0,620,149,0,505,191,0,0,0,0,0,3,484,0,26,2395,375
"24","2014/04/01 19:23",0,0,0,625,133,0,611,683,0,0,0,0,0,4,308,0,2177,26,282,0,0,0,622,134,0,615,681,0,0,0,0,0,4,311,0,26,2148,281
"25","2014/04/01 19:28",0,0,0,570,91,0,721,562,0,0,0,0,0,3,313,0,2314,27,234,0,0,0,556,97,0,732,557,0,0,0,0,0,5,299,0,27,2286,239
"26","2014/04/01 19:33",0,0,0,595,102,0,743,870,0,0,0,0,0,5,350,0,2371,27,381,0,0,0,610,101,0,734,871,0,0,0,0,0,3,337,0,27,2421,390
"27","2014/04/01 19:38",0,0,0,534,116,0,677,440,0,0,0,0,0,4,453,0,2368,29,257,0,0,0,537,117,0,675,442,0,0,0,0,0,5,457,0,29,2353,242
"28","2014/04/01 19:43",0,0,0,495,101,0,639,272,0,0,0,0,0,5,431,0,2320,28,268,0,0,0,479,97,0,639,271,0,0,0,0,1,5,421,0,28,2363,268
"29","2014/04/01 19:48",0,0,0,502,95,0,781,323,0,0,0,0,1,4,354,0,1984,26,362,0,0,0,531,102,0,786,322,0,0,0,0,1,5,360,0,26,1965,378
"30","2014/04/01 19:53",0,0,0,446,96,0,997,318,0,0,0,0,1,5,516,0,1975,26,387,0,0,0,436,96,0,992,317,0,0,0,0,0,5,515,0,26,1956,384
"31","2014/04/01 19:58",0,0,0,476,92,0,882,183,0,0,0,0,0,5,348,0,2189,25,286,0,0,0,476,89,0,886,184,0,0,0,0,0,4,341,0,25,2171,281
"32","2014/04/01 20:03",0,0,0,586,102,0,754,199,0,0,0,0,0,5,364,0,2574,24,382,0,0,0,591,101,0,755,200,0,0,0,0,0,6,365,0,24,2628,387
"33","2014/04/01 20:08",0,0,0,493,129,0,446,459,0,0,0,0,0,3,389,0,2377,26,287,0,0,0,495,127,0,439,458,0,0,0,0,0,5,379,0,26,2368,282
"34","2014/04/01 20:13",0,0,0,573,108,0,318,420,0,0,0,0,0,4,383,0,2361,26,243,0,0,0,563,109,0,311,420,0,0,0,0,0,4,386,0,26,2322,218
"35","2014/04/01 20:18",0,0,0,448,99,0,306,404,0,0,0,0,0,4,472,0,2166,24,289,0,0,0,451,99,0,326,403,0,0,0,0,0,4,478,0,24,2192,285
"36","2014/04/01 20:23",0,0,0,468,104,0,471,536,0,0,0,0,0,4,368,0,2232,26,306,0,0,0,463,102,0,454,536,0,0,0,0,0,5,378,0,26,2254,321
"37","2014/04/01 20:28",0,0,0,441,94,0,944,523,0,0,0,0,0,4,331,0,2320,25,265,0,0,0,448,94,0,952,524,0,0,0,0,0,4,316,0,25,2335,284
"38","2014/04/01 20:33",0,0,0,481,87,0,283,663,0,0,0,0,0,5,304,0,2251,24,339,0,0,0,477,86,0,284,667,0,0,0,0,0,3,305,0,24,2249,328
"39","2014/04/01 20:38",0,0,0,456,102,0,320,217,0,0,0,0,0,4,441,0,2245,26,251,0,0,0,457,99,0,312,215,0,0,0,0,0,5,436,0,26,2274,267
