Port_KBPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"1","2014/04/01 17:28",0,0,0,10142,2998,0,8442,9537,0,0,11,11,10,82,5722,0,60422,1777,4133,0,0,0,9986,2880,0,8266,9607,0,0,12,12,5,102,5666,0,1790,60831,3948
"2","2014/04/01 17:33",0,0,0,16840,1797,0,16887,8930,0,0,10,11,8,91,28623,0,58918,286,5659,0,0,0,16799,1867,0,15488,8816,0,0,11,13,7,93,29062,0,280,58579,6496
"3","2014/04/01 17:38",0,0,0,14129,3003,0,29590,8749,0,0,12,10,4,98,20983,0,37461,2045,3991,0,0,0,14941,3286,0,29416,8764,0,0,11,12,11,79,21732,0,2028,37287,4326
"4","2014/04/01 17:43",0,0,0,9119,2348,0,30575,18425,0,0,12,10,13,74,26876,0,37996,1670,21528,0,0,0,8293,2256,0,30860,18492,0,0,11,12,3,103,26404,0,1649,37407,21709
"5","2014/04/01 17:48",0,0,0,10919,1167,0,21376,15754,0,0,12,12,4,102,22044,0,36364,274,11421,0,0,0,11543,1199,0,20134,15933,0,0,11,12,12,78,22853,0,289,36454,10915
"6","2014/04/01 17:53",0,0,0,8862,4213,0,26161,8096,0,0,11,10,8,83,20253,0,51551,2141,11246,0,0,0,9030,4185,0,26785,7988,0,0,13,11,8,96,19475,0,2127,51158,10773
"7","2014/04/01 17:58",0,0,0,9177,6549,0,26967,7745,0,0,11,11,12,88,13916,0,52962,1648,4171,0,0,0,9617,6446,0,28128,7767,0,0,13,11,4,90,13293,0,1639,52737,3792
"8","2014/04/01 18:03",0,0,0,9773,2143,0,20057,5832,0,0,11,13,4,324,42142,0,52198,367,6970,0,0,0,9638,2208,0,20611,5806,0,0,10,12,13,323,42764,0,360,51114,8200
"9","2014/04/01 18:08",0,0,0,15206,7559,0,30789,11671,0,0,11,14,9,92,31627,0,35851,2301,4273,0,0,0,16157,7726,0,30671,11700,0,0,11,10,6,88,31486,0,2282,34765,4677
"10","2014/04/01 18:13",0,0,0,14758,24871,0,27982,11534,0,0,13,9,10,97,23241,0,40860,1855,4225,0,0,0,13808,24769,0,27368,11529,0,0,12,13,6,85,23291,0,1810,40886,3883
