Port_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"1","2014/04/01 17:28",-3,-3,-3,5553,13347,-3,3828,1020,-3,-3,-3,-3,-3,385,542,-3,1848,1916,1032,-3,-3,-3,5943,14147,-3,3961,1066,-3,-3,-3,-3,-3,598,543,-3,3270,1889,1106
"2","2014/04/01 17:33",-3,-3,-3,5331,17746,-3,5015,903,-3,-3,-3,-3,-3,1017,1209,-3,1535,1056,1078,-3,-3,-3,5303,17347,-3,5040,928,-3,-3,-3,-3,-3,434,1005,-3,904,1504,1088
"3","2014/04/01 17:38",-3,-3,-3,6256,10915,-3,5148,912,-3,-3,-3,-3,-3,428,1086,-3,1389,1970,1007,-3,-3,-3,6562,11615,-3,5227,926,-3,-3,-3,-3,-3,403,1176,-3,3768,1431,1141
"4","2014/04/01 17:43",-3,-3,-3,5580,13795,-3,4803,1006,-3,-3,-3,-3,-3,611,844,-3,1415,2063,1209,-3,-3,-3,5325,14808,-3,4824,1009,-3,-3,-3,-3,-3,410,826,-3,2532,1403,1254
"5","2014/04/01 17:48",-3,-3,-3,5630,13353,-3,4752,972,-3,-3,-3,-3,-3,617,1197,-3,1343,1639,1981,-3,-3,-3,5540,13767,-3,5065,1030,-3,-3,-3,-3,-3,401,1363,-3,1202,1310,1980
"6","2014/04/01 17:53",-3,-3,-3,4248,11424,-3,3318,599,-3,-3,-3,-3,-3,455,1002,-3,1080,2552,2123,-3,-3,-3,4658,11803,-3,3271,615,-3,-3,-3,-3,-3,979,1448,-3,3910,1054,1781
"7","2014/04/01 17:58",-3,-3,-3,2699,10262,-3,3937,715,-3,-3,-3,-3,-3,442,781,-3,792,1906,1519,-3,-3,-3,2703,10535,-3,3960,752,-3,-3,-3,-3,-3,768,801,-3,3120,768,1465
"8","2014/04/01 18:03",-3,-3,-3,4111,14342,-3,3423,975,-3,-3,-3,-3,-3,1522,993,-3,1198,1076,1113,-3,-3,-3,3448,14279,-3,3289,977,-3,-3,-3,-3,-3,1742,987,-3,1135,1139,1164
"9","2014/04/01 18:08",-3,-3,-3,6274,13170,-3,4919,743,-3,-3,-3,-3,-3,1081,963,-3,1380,2317,975,-3,-3,-3,7700,14365,-3,5076,745,-3,-3,-3,-3,-3,437,897,-3,3768,1346,988
"10","2014/04/01 18:13",-3,-3,-3,10105,4835,-3,5849,618,-3,-3,-3,-3,-3,452,772,-3,1368,2288,1035,-3,-3,-3,6302,5032,-3,5657,624,-3,-3,-3,-3,-3,410,785,-3,3199,1352,1031
"11","2014/04/01 18:18",-3,-3,-3,2336,4870,-3,5433,1158,-3,-3,-3,-3,-3,474,848,-3,1592,917,2472,-3,-3,-3,2577,4919,-3,5207,1210,-3,-3,-3,-3,-3,442,939,-3,950,1584,2171
"12","2014/04/01 18:23",-3,-3,-3,5557,5922,-3,4692,2220,-3,-3,-3,-3,-3,458,764,-3,1571,1808,2371,-3,-3,-3,5709,6072,-3,4605,2255,-3,-3,-3,-3,-3,469,790,-3,3528,1509,2538
"13","2014/04/01 18:28",-3,-3,-3,7493,17904,-3,4893,1585,-3,-3,-3,-3,-3,406,849,-3,2174,1969,1038,-3,-3,-3,5880,14749,-3,4776,1585,-3,-3,-3,-3,-3,657,868,-3,2997,2098,984
