URJNL_M-JNL_Asynchronous_Copy_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,3230,0,0,0,0,0,0
"8","2014/04/01 18:03",0,0,0,0,564,0,0,0,0,0,0
"9","2014/04/01 18:08",0,0,0,0,4305,0,0,0,0,0,0
"10","2014/04/01 18:13",0,0,0,0,3374,0,0,0,0,0,0
"11","2014/04/01 18:18",0,0,0,0,515,0,0,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,3884,0,0,0,0,0,0
"13","2014/04/01 18:28",0,0,0,0,3330,0,0,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,357,0,0,0,0,0,0
"15","2014/04/01 18:38",0,0,0,0,3790,0,0,0,0,0,0
"16","2014/04/01 18:43",0,0,0,0,3265,0,0,0,0,0,0
"17","2014/04/01 18:48",0,0,0,0,519,0,0,0,0,0,0
"18","2014/04/01 18:53",0,0,0,0,5935,0,0,0,0,0,0
"19","2014/04/01 18:58",0,0,0,0,5101,0,0,0,0,0,0
"20","2014/04/01 19:03",0,0,0,0,523,0,0,0,0,0,0
"21","2014/04/01 19:08",0,0,0,0,4784,0,0,0,0,0,0
"22","2014/04/01 19:13",0,0,0,0,4712,0,0,0,0,0,0
"23","2014/04/01 19:18",0,0,0,0,1146,0,0,0,0,0,0
"24","2014/04/01 19:23",0,0,0,0,4930,0,0,0,0,0,0
"25","2014/04/01 19:28",0,0,0,0,6298,0,0,0,0,0,0
"26","2014/04/01 19:33",0,0,0,0,5448,0,0,0,0,0,0
"27","2014/04/01 19:38",0,0,0,0,9266,0,0,0,0,0,0
"28","2014/04/01 19:43",0,0,0,0,6641,0,0,0,0,0,0
"29","2014/04/01 19:48",0,0,0,0,4904,0,0,0,0,0,0
"30","2014/04/01 19:53",0,0,0,0,3869,0,0,0,0,0,0
"31","2014/04/01 19:58",0,0,0,0,3222,0,0,0,0,0,0
"32","2014/04/01 20:03",0,0,0,0,907,0,0,0,0,0,0
"33","2014/04/01 20:08",0,0,0,0,4061,0,0,0,0,0,0
"34","2014/04/01 20:13",0,0,0,0,3582,0,0,0,0,0,0
"35","2014/04/01 20:18",0,0,0,0,1059,0,0,0,0,0,0
"36","2014/04/01 20:23",0,0,0,0,4337,0,0,0,0,0,0
"37","2014/04/01 20:28",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"38","2014/04/01 20:33",0,0,0,0,803,0,0,0,0,0,0
"39","2014/04/01 20:38",0,0,0,0,3925,0,0,0,0,0,0
"40","2014/04/01 20:43",0,0,0,0,3452,0,0,0,0,0,0
"41","2014/04/01 20:48",0,0,0,0,601,0,0,0,0,0,0
"42","2014/04/01 20:53",0,0,0,0,3868,0,0,0,0,0,0
"43","2014/04/01 20:58",0,0,0,0,3316,0,0,0,0,0,0
"44","2014/04/01 21:03",0,0,0,0,485,0,0,0,0,0,0
"45","2014/04/01 21:08",0,0,0,0,4054,0,0,0,0,0,0
"46","2014/04/01 21:13",0,0,0,0,3823,0,0,0,0,0,0
"47","2014/04/01 21:18",0,0,0,0,1187,0,0,0,0,0,0
