URJNL_R-JNL_Asynchronous_Copy_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","05","03","0A","04","0C","07","09","0B","00","11","0F"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",1951,115,0,13,0,7,45947,47,0,1,17
"8","2014/04/01 18:03",1273,120,122,14,0,20,24299,68,0,1,25
"9","2014/04/01 18:08",2474,125,77,14,0,13,21369,98,0,4,28
"10","2014/04/01 18:13",1277,102,349,14,0,12,18776,46,0,1,14
"11","2014/04/01 18:18",2102,199,0,13,0,17,14542,45,0,3,14
"12","2014/04/01 18:23",1837,185,0,15,0,12,16575,46,0,1,15
"13","2014/04/01 18:28",2260,273,0,14,0,9,15448,45,0,2,17
"14","2014/04/01 18:33",1953,208,0,16,0,19,15480,43,0,1,17
"15","2014/04/01 18:38",2419,169,0,14,0,14,21398,46,0,1,17
"16","2014/04/01 18:43",1175,223,0,15,0,12,27825,46,0,1,18
"17","2014/04/01 18:48",1431,230,0,13,0,16,17339,51,0,4,15
"18","2014/04/01 18:53",1918,197,5783,16,0,11,21044,52,0,1,17
"19","2014/04/01 18:58",1946,320,0,12,0,6,12828,45,0,1,21
"20","2014/04/01 19:03",2286,416,0,17,0,18,20453,76,0,4,33
"21","2014/04/01 19:08",2385,549,36,15,0,13,67313,102,0,2,38
"22","2014/04/01 19:13",1746,536,69,14,0,12,48332,49,0,1,26
"23","2014/04/01 19:18",1354,265,0,14,0,17,43154,48,0,3,22
"24","2014/04/01 19:23",2094,447,0,14,0,13,45554,73,0,1,23
"25","2014/04/01 19:28",2447,396,0,14,0,7,25800,105,0,3,20
"26","2014/04/01 19:33",1987,266,19094,15,0,19,22790,188,0,2,20
"27","2014/04/01 19:38",1980,231,48,13,0,12,15778,136,0,12,28
"28","2014/04/01 19:43",1900,185,0,16,0,13,12844,101,0,4,24
"29","2014/04/01 19:48",2745,240,0,15,0,16,11352,106,0,2,24
"30","2014/04/01 19:53",1677,201,0,14,0,12,8446,2200,0,1,27
"31","2014/04/01 19:58",2076,373,0,12,0,11,11979,112,0,1,23
"32","2014/04/01 20:03",1740,622,152,23,0,17,21786,987,0,2,31
"33","2014/04/01 20:08",4112,647,118,21,0,14,25440,122,0,15,31
"34","2014/04/01 20:13",2485,292,438,18,0,12,31866,62,0,1,17
"35","2014/04/01 20:18",2065,301,0,15,0,18,14809,61,0,1,15
"36","2014/04/01 20:23",1943,273,0,14,0,13,15441,45,0,1,16
"37","2014/04/01 20:28",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"38","2014/04/01 20:33",795,103,0,14,0,20,13661,49,0,1,26
"39","2014/04/01 20:38",1866,163,0,13,0,15,10361,58,0,1,22
"40","2014/04/01 20:43",1143,141,0,12,0,15,11148,47,0,3,26
"41","2014/04/01 20:48",2886,151,0,14,0,18,10229,45,0,4,29
"42","2014/04/01 20:53",1682,78,940,14,0,11,15608,59,0,1,19
"43","2014/04/01 20:58",1084,56,0,11,0,7,13022,93,0,13,25
"44","2014/04/01 21:03",943,105,0,15,0,18,9684,115,0,1,152
"45","2014/04/01 21:08",1657,146,47,13,0,13,9957,102,0,1,34
"46","2014/04/01 21:13",1216,41,118,14,0,12,7783,47,0,2,25
